CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_AOA_READING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_UNTRAINED_GPT_SCORE	ENGLISH_AOA_UNTRAINED_GPT_SCORE	ENGLISH_AOA_READING_TRAINED_GPT_SCORE	ENGLISH_AOA_WRITING_TRAINED_GPT_SCORE	ENGLISH_AOA_TRAINED_GPT_SCORE	LINE_IN_SOURCE
1377	VISIT	visit	7.5	7.5	4.5	6	6.11	5.53	24199
1378	SPOON	spoon	4.5	5.5	2.5	4.11	4.22	3.89	20344
1379	TELEPHONE	telephone	7.5	8.5	4.5	5.5	6	5	21694
138	BATHE	bathe	8.5	8.5	5.5	6	6.33	4.89	1574
1380	TOOTH	tooth	5.5	6.5	3.5	4.37	4.68	3.89	22151
1381	SHOE	shoe	4.5	6.5	2.5	4.61	5	3.89	19292
1382	NEEDLE (FOR SEWING)	needle	7.5	8.5	5.2	6.11	6.33	5.89	13989
1383	GRANDFATHER	grandfather	7.5	8.5	4.5	5.11	5.37	4.89	9173
1384	SECOND	second	6.5	7.5	4.5	5.5	6	5	18908
1385	PEPPER	pepper	7.5	7.5	4.5	5.37	5.68	4.89	15483
1386	LION	lion	5.5	6.5	4.5	5.11	5.22	4.89	12349
1387	ARRIVE	arrive	7.5	8.5	5.5	7.89	8.05	7.53	1021
1388	SHADE	shadow	6.5	7.5	4.5	5.11	5.33	4.89	19144
1389	TOE	toe	5.2	6.5	3.5	4.5	5	4	22099
139	GUMS	gum	6.5	6.5	5	5.11	5.22	4.89	9413
1390	WRONG	wrong	6.5	7.5	4.5	5.11	5.33	4.89	24976
1391	TOWN	town	6.5	7	5	6.11	6.22	5.95	22232
1392	LOUSE	lice	8.5	8.5	7.5	7.11	7.33	7	12242
1393	HORN (ANATOMY)	horn	6.5	6.5	4.5	5.5	6	5	10104
1394	BONE	bone	6.5	6.5	4.5	5.5	6	5	2202
1395	ROUND	round	5.5	6.5	3.5	5.5	6	5	18357
1396	SHARP	sharp	6.5	7.5	4.5	6.11	6.22	5.89	19199
1398	DRY	dry	5.5	6.5	3.5	5.11	5.22	4.89	6446
1399	CLAY	clay	6.5	6.5	5.2	6.11	6.22	5.95	3489
14	YOKE	yoke	10.5	9.5	8.5	10.47	10.95	10	25024
1400	THIN (SLIM)	skinny	7.5	8.5	5.5	6.11	6.22	5.89	19617
1401	DRINK	drink	4.5	6.5	2.5	4.61	5	3.89	6397
1402	BREAST	breast	8.5	9.5	3.5	8.5	8.89	8	2410
1403	BITE	bite	5.2	6.5	3.5	5.11	5.33	4.89	1935
1404	STRAIGHT	straight	7.5	9.5	5.2	6.89	7	6.53	20789
1405	NAME	name	5	5	2.5	4	4	4	13890
1406	FAR	far	5.2	5	3.5	5.11	5.22	4.89	7673
1407	BREATHE	breathe	8.5	9.5	4.5	7.11	7.47	6.95	2422
1408	HEAR	hear	5.2	6.5	2.5	5.11	5.22	4.89	9740
1409	SEE	see	5	5	2.5	4	4	4	18944
1411	LIE (REST)	lie	6.5	7.5	4.5				12250
1412	RUDE	rude	7.5	8.5	5.5	6.37	6.68	5.95	18396
1413	PLAY	play	5	5	2.5	4.37	4.53	3.89	15901
1414	SQUEEZE	squeeze	6.5	8.5	4.5	6	6.47	5.53	20435
1416	SIT	sit	4.5	5	2.5	4	4	4	19546
1417	KILL	kill	8.5	8.5	5.5	6.37	6.68	5.95	11827
1418	DIG	dig	5.5	5.5	3.5	5.11	5.22	4.89	5714
1419	FEAR (BE AFRAID)	fear	7.5	7.5	4.5	5.37	5.68	4.89	7743
1420	COUNT	count	5.5	6.5	4.5	5.5	5.5	5	4531
1421	SUCK	suck	6.5	6.5	3.5	6.53	6.89	5.89	21074
1422	BE ALIVE	live	6.5	7.5	3.5	5.5	6	5	12390
1423	FIGHT	fight	7.5	7.5	4.5	5.53	5.95	4.89	7889
1424	YELLOW	yellow	4.5	5.5	3.5	4.11	4.22	3.89	25011
1425	GREEN	green	4.5	5.5	3.5	4	4	4	9252
1426	EXPENSIVE	expensive	8.5	9.5	6.5	7.11	7.5	7	7399
1427	BEAUTIFUL	beautiful	7.5	9.5	5.5	6.11	6.47	5.95	1643
1428	BURNING	burning	7.5	7.5	4.5	6.11	6.33	5.95	2656
1429	FULL	full	6.5	6.5	3.5	5.11	5.22	4.89	8628
143	HUMID	humid	9.5	10.5	8.5	9.11	9.47	9	10232
1430	STAR	star	5	5.5	3.5	5	5.11	4.89	20524
1431	FREEZE	freeze	7.5	8.5	5.5	6.11	6.33	5.89	8519
1432	CUT	cut	5.2	5	3.5	4.5	5	4	4967
1433	HIT	hit	5.2	5	3.5	5	5	4	9962
1434	STAB	stab	8.5	7.5	5.5	7.11	7.33	7	20453
1435	HUNT	hunt	7.5	7.5	5.5	6.37	6.68	5.95	10267
1436	SCRATCH	scratch	6.5	7.5	4.5	6	6.11	5.53	18784
1437	SPLIT	split	7.5	8.5	5.5	6.11	6.22	6	20316
1438	FOOL	fool	8.5	7.5	6.5	6.37	6.68	5.95	8260
1439	SWIM	swim	6.5	6.5	3.5	5.37	5.47	4.89	21373
144	MACHINE	machine	8.5	10.5	5.8	7	7.22	6.89	12645
1440	SPIT	spit	6.5	6.5	3.5	5.22	5.44	4.89	20294
1441	FLY (MOVE THROUGH AIR)	fly	5.2	6.5	3.5	5	5.11	4.89	8215
1442	STAND	stand	5.5	6.5	3.5	5.11	5.22	4.89	20507
1443	WALK	walk	5.2	5.5	2.5	4.37	4.53	3.89	24312
1446	COME	come	5	6	2.5	5	5.11	4.89	3782
1447	GIVE	give	5.2	6.5	2.5	5.11	5.22	4.89	8936
1448	HOLD	hold	5.5	6.5	3.5	5.11	5.33	4.89	9990
1449	RUB	rub	5.5	6.5	3.5	5.11	5.22	4.89	18383
145	SORROWFUL	sorrowful	10.5	10.5	8.5	9.47	10	9	20079
1450	ROOM	room	5.2	6	3.5	4.37	4.68	3.89	18316
1451	SMILE	smile	5.2	6.5	3.5	5.11	5.22	4.89	19813
1452	PUSH	push	4.5	6	3.5	5.11	5.22	4.89	16926
1453	WASH	wash	5	6.5	3.5	4.37	4.68	3.89	24376
1454	WIPE	wipe	5.5	6.5	3.5	5.11	5.22	4.89	24759
1455	PULL	pull	5.2	6.5	3.5	5.11	5.22	4.89	16853
1456	THROW	throw	5.2	6.5	3.5	5.11	5.22	4.89	21953
1457	SEW	sew	9.5	9.5	6.5	7.11	7.22	6.95	19119
1458	SAY	say	5	5.2	2.5	4.37	4.53	3.89	18632
1459	IF	if	5	5	2.5	4	4	4	10433
146	SUGAR CANE	sugarcane	10.5	11.5	8.5	8.95	9.11	8.47	21099
1460	IN	in	4	5	2.5	4	4	4	10652
1461	AT	at	4	5	2.5	4	4	4	1161
1462	POT	pot	4.5	5	3.5	5.11	5.33	4.89	16199
1463	DRUNK	drunk	9.5	8.5	5.5	8.11	8.37	7.89	6441
1464	LADDER	ladder	6.5	7.5	4.5	5.5	6	5	11944
1465	BOX	box	5	5.5	3.5	4.5	4.5	4	2327
1466	EXACT	exact	9.5	9.5	8.5	8.11	8.5	8	7237
1467	CIRCLE	circle	5.5	6.5	4.5	5.11	5.22	4.89	3402
1468	LOOK FOR	search	7.5	8.5	5.5	7.11	7.37	6.95	18875
1469	WEEK	week	6.5	7	3.5	5.5	5.67	5	24509
1470	FOLD	fold	6.5	6.5	4.5	5.5	6	5	8235
1471	WINTER	winter	6.5	7.5	4.5	5.11	5.22	4.89	24757
1472	KEY	key	6.5	6.5	3.5	5.5	6	5	11799
1473	FIST	fist	6.5	6.5	4.5	6.33	6.67	5.95	8000
1474	SEA	sea	5	6.5	3.5	6.11	6.22	5.89	18853
1475	COMB	comb	6.5	7.5	4.5	5.37	5.68	4.89	3765
1476	CHAIR	chair	4.5	5.5	2.5	4.5	5	4	3111
1477	KEEP	keep	6.2	6.5	3.5	5	5.11	4.89	11788
1478	WITHOUT	without	7.5	8.5	4.5	6	6.5	5	24805
1479	DOLPHIN	dolphin	7.5	7.5	5.2	6.11	6.33	6	6221
1480	BODY	body	5.2	6.5	3.5	5.37	5.68	4.95	2166
1481	HAMMER	hammer	6.5	6.5	4.5	5.5	5.67	5	9527
1482	SHOULDER	shoulder	7.5	8.5	4.5	6.22	6.5	5.95	19341
1483	NINE	nine	5	5	4.5	5	5.11	4.89	14145
1484	OIL (ORGANIC SUBSTANCE)	oil	6.5	7.5	5.2	6.11	6.22	6	14590
1485	BELOW OR UNDER	below	6.5	7.5	4.5	6.11	6.22	5.89	1745
1487	POUR	pour	6.5	7.5	3.5	6.11	6.33	5.89	16226
1488	FAUCET	tap	5	5	3.5	5.11	5.22	5	21566
1489	CLOUD	cloud	5.5	6.5	3.5	5.11	5.22	4.89	3579
149	ITCHY	itchy	6.5	7.5	4.5	5.37	5.68	4.95	11576
1490	RAT	rat	5	5	4.5	5.5	6	5	17190
1491	MOUSE	mouse	5.2	6.5	3.5	5.11	5.33	4.89	13700
1492	DUMB	dumb	8.5	8.5	5.5	6.11	6.22	5.89	6479
1493	ONE	one	4.5	5	2.5	4	4	4	14624
1494	DIE	die	7.5	7.5	4.5	5.11	5.22	4.89	5694
1495	HAPPY	happy	5.2	6.5	3.5	4.11	4.22	3.89	9597
1496	GRANDMOTHER	grandmother	6.5	7.5	4.5	5.11	5.47	4.89	9178
1497	POSTCARD	postcard	8.5	8.5	6.5	7.11	7.33	6.89	16173
1498	TWO	two	4.5	5.5	2.5	4	4	4	22675
1499	JUICE	juice	4.5	5.5	2.5	4.61	5	3.89	11742
15	OTTER	otter	8.5	8.5	6.5	7.11	7.37	7	14783
150	WORRY	worry	7.5	8.5	4.5	6.37	6.68	5.95	24919
1500	FOUR	four	5	5.5	3.5	4	4	4	8436
1501	BORE	bore	9.5	9.5	6.5	8	8.22	7.89	2264
1502	GOAT	goat	5.5	6.5	4.5	5.61	6	4.89	9048
1503	SALIVA	saliva	9.5	10.5	7.5	7.47	7.95	7	18515
1504	FLY (INSECT)	housefly	8.5	9.5	7.5	6.5	6.67	6	10173
1505	SPERM	sperm	12.5	12.5	12.5	11.5	11.8	11	20244
1506	MEASURE	measure	8.5	9.5	6.5	7.11	7.5	7	12994
1507	FRUIT	fruit	5.5	6.5	3.5	5	5.11	4.89	8606
1508	KING	king	6.5	6.5	5	5	5.11	5	11850
1509	MOSQUITO	mosquito	9.5	10.5	7.5	6.5	7	6	13646
151	RAZOR	razor	9.5	9.5	6.5	7.5	7.89	7	17233
1510	CHIN	chin	5.2	6.5	3.5	5.5	5.67	5	3301
1511	ROOSTER	rooster	7.5	7.5	5.5	6.47	6.95	5.95	18322
1512	RISE (ONESELF)	arise	10.5	10.5	8.5	10	10.22	9.89	984
1514	HEN	hen	5	5	4.5	5.11	5.33	4.89	9836
1515	TEN	ten	5	5	4.5	4	4	4	21728
1517	WASP	wasp	8.5	8.5	7.5	7.11	7.37	6.95	24388
1518	STUPID	stupid	7.5	8.5	5.5	6.11	6.22	5.89	20939
1519	RUN	run	5	5	3.5	4	4	4	18421
152	HOOF	hoof	8.5	8.5	6.5	7.11	7.44	6.89	10075
1520	CRUSH	crush	8.5	8.5	7.5	7.68	7.89	7.47	4844
1521	SEEM	seem	6.5	7.5	4.5	7.11	7.33	7	18954
1522	SOCK	sock	4.5	5	3.5	4.61	5	3.89	19981
1523	FORGET	forget	7.5	8.5	4.5	5.11	5.37	4.95	8353
1524	WINE	wine	12.5	10.5	6.5	8.47	8.95	8	24744
1525	COAST	coast	7.5	8.5	6.5	7.47	7.68	7.47	3619
1526	MEAL	meal	6.5	7	3.5	5.37	5.68	4.89	12975
1527	TICK	tick	6.5	7.5	5.5	6.11	6.22	6	21992
1528	FORGIVE	forgive	8.5	9.5	6.5	6.5	6.7	6	8360
1529	LAST (FINAL)	last	6.5	6.5	3.5	5.11	5.22	5	12022
153	GREY	grey	6.5	7.5	4.5	6.22	6.67	5.89	9266
1530	BOWL	bowl	5.5	6.5	3.5	5.11	5.22	4.89	2320
1531	BRANCH	branch	6.5	7.5	5.2	6.11	6.37	5.95	2366
1532	SHEAR	shear	10.5	10.5	8.5	10.47	10.95	10	19218
1533	BE HUNGRY	hungry	5.2	6.5	3.5	5.11	5.22	4.89	10263
1534	FEVER	fever	7.5	7.5	4.5	6.22	6.5	5.95	7841
1535	SWORD	sword	9.5	9.5	6.5	7	7.22	6.89	21405
1536	UNDERSTAND	understand	7.5	8.5	4.5	6.11	6.37	5.89	23067
1537	SPRINGTIME	spring	6.5	7.5	4.5	5	5	5	20381
1538	SCORPION	scorpion	9.5	10.5	7.5	8.47	8.95	8	18755
1539	BASKET	basket	5.5	6.5	4.5	5.5	6	5	1567
154	UDDER	udder	9.5	10.5	7.5	8	8.37	7.89	22703
1540	EYELASH	eyelash	7.5	8.5	5.2	6.33	6.67	5.95	7547
1541	CULTIVATE	cultivate	11.5	11.5	10.5	10.95	11.16	10.47	4890
1542	ACCOMPANY	accompany	9.5	11.5	7.5	10.11	10.47	9.89	127
1543	SNAIL	snail	6.5	6.5	4.5	6.11	6.33	5.95	19856
1544	SOMETIMES	sometimes	7.5	8.5	5.5	6.11	6.37	6	20045
1545	HOST	host	9.5	9.5	8.5	8.11	8.33	8	10144
1546	TWICE	twice	7.5	8.5	5.5	7	7.11	6.89	22650
1547	SOUP	soup	5.5	6.5	3.5	4.5	5	4	20102
1548	UGLY	ugly	6.5	7.5	5.2	5.5	5.67	5	22705
1549	TRIBE	tribe	9.5	9.5	8.5	8.11	8.5	8	22460
155	CHOP	chop	6.5	6.5	4.5	6.11	6.22	5.95	3341
1550	PREVENT	prevent	9.5	10.5	7.5	8.11	8.33	8	16469
1551	FEMALE	female	8.5	8.5	4.5	6.5	6.7	6	7796
1552	GLOOMY	gloomy	8.5	9.5	6.5	8.11	8.37	8	9004
1553	MALE	male	7.5	7.5	4.5	6.5	6.5	6	12725
1554	MAN	man	5.2	5	3.5	4.37	4.68	3.89	12754
1555	CHAMELEON	chameleon	9.5	10.5	8.5	8.47	8.95	8	3125
1556	YOLK	yolk	8.5	8.5	5.5	7.47	7.95	7	25025
1557	BEGINNING	beginning	7.5	8.5	4.5	6.89	7.11	6.53	1703
1558	SIMILAR	similar	9.5	9.5	6.5	8.11	8.5	8	19485
1559	MONEY	money	6.5	7.5	4.5	5.11	5.22	4.89	13543
156	RED	red	4.5	5	2.5	4.11	4.22	3.89	17445
1560	FACE	face	5.2	6.5	3.5	4.37	4.68	3.89	7570
1561	ARMY	army	8.5	8.5	5.5	6.37	6.68	5.95	1006
1562	MIND	mind	7.5	7.5	4.5	6.11	6.37	5.95	13305
1563	PYTHON	python	12.5	12.5	12.5	10	10.22	9.89	16953
1564	LAZY	lazy	6.5	7.5	5.2	6.37	6.68	5.95	12088
1565	HEAVEN	heaven	8.5	9.5	5.2	5.5	6	5	9775
1566	GUN	gun	7.5	7.5	5.5	6	6	5	9417
1567	DOOR	door	5.2	6.5	2.5	4	4	4	6253
1568	ARRANGE	arrange	8.5	9.5	6.5	8.11	8.47	8	1015
1569	CHEESE	cheese	5	6.5	3.5	4.89	5	4	3241
157	DYE	dye	9.5	9.5	7.5	6.95	7.11	6.53	6523
1570	EQUAL	equal	7.5	8.5	6.5	7.11	7.37	6.95	7070
1571	SELL	sell	7.5	7.5	4.5	6.11	6.22	6	18985
1572	SURPRISED	surprised	7.5	8.5	5.5	7	7.47	6.53	21270
1573	SWELL	swell	8.5	8.5	5.5	7.11	7.33	7	21363
1574	FLOAT	float	6.5	7.5	4.5	7	7.11	6.89	8148
1575	COCKROACH	cockroach	9.5	9.5	7.5	7.5	8	7	3648
1577	AND	and	4	5	2.5	4	4	3.89	699
1578	IGUANA	iguana	9.5	9.5	7.5	8.47	8.95	8	10441
1579	BE	be	5	5	1.5	4	4	4	1603
1580	ONLY	only	6	6.5	3.5	6	6.11	5.53	14630
1581	ALLIGATOR	alligator	6.5	8.5	5.5	6.11	6.47	5.95	546
1583	BRAIN	brain	7.5	7.5	5	7	7.11	6.79	2352
1584	BLISTER	blister	9.5	9.5	7.5	7.37	7.68	7	2046
1585	SLEEP	sleep	5	6.5	2.5	4.37	4.53	3.89	19686
1587	SMELL (STINK)	stink	7.5	7.5	4.5	5.11	5.33	4.89	20704
1588	TURN	turn	5.2	6.5	3.5	5.11	5.22	4.89	22612
1589	HUMMINGBIRD	hummingbird	8.5	9.5	6.5	7.11	7.47	6.95	10242
1590	WAIT (FOR)	wait	6.5	7.5	4.5	5.11	5.22	4.89	24302
1591	UP	up	4.5	5	2.5	4.11	4.22	3.89	23836
1592	CHEST	chest	6.5	7.5	4.5	6.11	6.33	5.89	3263
1593	DEEP	deep	6.5	6.5	4.5	6.11	6.22	5.95	5243
1594	FLOUR	flour	7.5	8.5	4.5	6.5	7	6	8175
1595	SOUTH	south	7.5	7.5	4.5	6.11	6.22	6	20109
1596	LOCK	lock	6.5	6.5	4.5	5.5	6	5	12432
1597	AIRPLANE	airplane	6.5	6.5	5.5	5.22	5.67	4.89	480
1598	NORTH	north	7.5	7.5	5.5	6.11	6.22	5.95	14323
1599	WORD	word	6.5	6.5	4.5	5	5	5	24870
16	SLED	sleigh	8.5	9.5	6.5	6.5	7	6	19705
160	SET (HEAVENLY BODIES)	set	6.5	6.5	3.5	6.11	6.22	5.89	19097
1600	SKIRT	skirt	6.5	7.5	4.5	5.5	6	5	19622
1601	WEAK	weak	7.5	7.5	4.5	6.11	6.22	6	24456
1603	MOSQUE	mosque	10.5	11.5	10.5	11.5	12	11	13645
1605	SKULL	skull	8.5	8.5	6.5	7.11	7.37	6.95	19631
1606	INSIDE	inside	5.5	6.5	3.5	5.11	5.22	4.89	11149
1607	HATE	hate	7.5	7.5	5.5	5	5.11	5	9668
1608	LISTEN	listen	6.5	7.5	3.5	5.11	5.22	4.89	12366
1609	IDEA	idea	8.5	8.5	4.5	6.11	6.22	6	10402
161	MISS (A TARGET)	miss	6.5	7.5	4.5	5.11	5.22	4.89	13428
1610	PROSTITUTE	prostitute			14.5	12.5	12.8	12	16724
1611	INVITE	invite	7.5	8.5	4.5	6.11	6.37	6	11479
1612	LETTER	letter	6.5	6.5	4.5	5	5	5	12205
1613	COLOR	color	5.5	6.5	3.5	4.5	4.5	4	3750
1614	SUMMIT	summit	10.5	10.5	8.5	10.47	10.95	10	21138
1615	ESCAPE	escape	7.5	8.5	5.2	7.11	7.37	6.95	7134
1616	CLOTH	cloth	6.5	6.5	3.5	6.11	6.37	5.95	3575
1617	GRANDCHILD	grandchild	8.5	9.5	5.5	6.5	6.72	5.89	9169
1618	GRANDSON	grandson	7.5	8.5	5.2	6.33	6.67	5.95	9183
1619	GRANDDAUGHTER	granddaughter	8.5	9.5	5.2	7.11	7.47	6.89	9171
162	HICCOUGH	hiccup	7.5	8.5	4.5	6.37	6.68	5.95	9892
1620	SON	son	6.5	6.5	3.5	5	5.11	3.89	20048
1621	SNEEZE	sneeze	6.5	7.5	3.5	5.33	6	4.89	19884
1622	SHIRT	shirt	5.5	6.5	3.5	4.89	5	3.89	19280
1623	SPEAK	speak	6.5	7.2	3.5	5.5	6	5	20178
1624	EMPTY	empty	6.5	7.5	3.5	5.5	6	5	6854
1625	DEAD	dead	6.5	7.5	4.5	5.11	5.22	4.89	5099
1626	EXPLAIN	explain	7.5	8.5	5.2	7.11	7.37	6.95	7415
1627	CHAIN	chain	7.5	7.5	5.2	6.11	6.37	5.95	3107
1628	SQUIRREL	squirrel	8.5	8.5	5.2	6.37	7	5.95	20448
1629	EVENING	evening	7.5	8.5	4.5	6.11	6.37	5.95	7206
163	BLACK	black	5	6	3.5	4.5	5	4	1948
1631	FAST	fast	5.5	6.5	3.5	5.11	5.22	4.89	7700
1632	FLOOR	floor	5.2	6.5	3.5	4.5	5	4	8162
1633	FLAT	flat	6.5	6.5	4.5	6.11	6.22	5.89	8074
1634	HUNDRED	hundred	7.5	8.5	6.5	6.11	6.22	6	10257
1635	OBEY	obey	7.5	8.5	5.5	6.5	7	6	14454
1636	MOTIONLESS	motionless	9.5	10.5	8.5	9.47	9.95	9	13664
1637	AUTHORITY	authority	11.5	11.5	8.5	9.11	9.44	8.89	1259
1638	TRUTH	truth	8.5	9.5	5.2	6.11	6.37	5.95	22559
1639	BEER	beer	15.5	12.5	8.5	8.47	8.95	7.89	1687
164	KANGAROO	kangaroo	7.5	8.5	5.5	6.22	6.67	5.95	11781
1640	SIBLING	sibling	8.5	8.5	5.5	6.53	6.89	5.95	19413
1641	SILK	silk	8.5	7.5	5.5	7.11	7.33	7	19472
1642	NIECE	niece	9.5	10.5	6.5	8.11	8.47	7.89	14119
1643	COUSIN	cousin	7.5	8.5	5	6.11	6.22	5.89	4596
1644	RELATIVES	relative	9.5	10.5	7.5	8.11	8.37	7.89	17662
1645	SHORT	short	5.5	6.5	4.5	5.11	5.22	4.89	19316
1646	GIRL	girl	5.2	5.2	3.5	4.11	4.22	3.89	8931
1647	FOAL	pony	5.5	6.5	4.5	5.22	5.61	4.89	16091
1648	ANVIL	anvil	10.5	10.5	8.5	9.47	10	9	826
1650	WATCH	watch	6.5	7.5	4.5	5.37	6	4.89	24397
1651	TEAR (OF EYE)	tear	6.5	7.5	4.5	5.5	6	5	21638
1652	INSTEAD	instead	8.5	9.5	5.5				11196
1653	BLIND	blind	7.5	7.5	4.5	6.11	6.22	5.89	2024
1654	LIGHTNING	lightning	8.5	8.5	5.5	6.37	6.68	5.95	12287
1655	BLINK	blink	5.5	6.5	3.5	5.5	6	5	2036
1656	NEVER	never	6.5	7.5	3.5	5.11	5.22	4.89	14080
1657	TRUE	true	7.5	7.5	4.5				22543
1659	DOLL	doll	4.5	5	3.5	4.37	4.68	3.89	6217
166	MAINLAND	mainland	9.5	9.5	7.5	9.11	9.5	9	12704
1662	CAPE	cape	6.5	6.5	5.5	6.11	6.22	5.89	2836
1663	BED	bed	4.5	5	3.5	4.11	4.22	3.89	1655
1664	RAFT	raft	7.5	7.5	5.2	7.11	7.33	7	17103
1665	BEAT	beat	6.5	7.5	4.5	6.11	6.33	5.89	1636
1666	MUTE	mute	9.5	9.5	6.5	9	9.11	8.89	13846
1667	HOLE	hole	5.2	6.5	3.5	5.11	5.22	4.89	9995
1668	GRIEF	grief	10.5	10.5	8.5	9	9.22	8.89	9271
1669	ANCESTORS	ancestor	10.5	10.5	8.5	9.11	9.44	9	689
167	MAIL	mail	7.5	7.5	5.5	6	6.11	5.89	12693
1671	TOWER	tower	7.5	7.5	5.2	6.11	6.22	6	22228
1672	WRITE	write	6.5	7.5	5	5	5	5	24970
1673	ARM	arm	4.5	5	2.5	4.37	4.53	3.89	991
1674	POOR	poor	7.5	7.5	4.5	6.11	6.22	5.95	16101
1675	PROMISE	promise	7.5	9.5	5.2	6.11	6.37	5.95	16653
1676	ALWAYS	always	6.5	7.5	4.5	6.11	6.33	5.89	595
1678	HUT	hut	6.5	6.5	5.5	7.11	7.33	7	10295
1679	LOAD	load	7.5	8.5	5.5	7.11	7.33	7	12403
168	REST	rest	5.5	6.5	3.5	5.5	5.5	5	17964
1680	HELMET	helmet	6.5	7.5	5.5	6	6.5	5	9817
1681	WAIST	waist	8.5	9.5	5.5	7.11	7.37	7	24298
1682	GUILTY	guilty	9.5	10.5	6.5	7.11	7.33	7	9402
1683	BUSH	bush	6.5	6.5	4.5	5.5	6	5	2666
1684	BUD	bud	6.5	6.5	5.2	6.11	6.22	6	2567
1685	AFTER	after	6.5	6.5	3.5	5.11	5.22	4.89	392
1686	BEHIND	behind	6.5	7.5	4.5	5.5	6	5	1716
1687	PRAISE	praise	8.5	9.5	5.2	7.11	7.5	7	16258
1688	FATE	fate	9.5	9.5	8.5	9.11	9.33	9	7712
1689	SMOKE (INHALE)	smoking	9.5	9.5	5.5	8.11	8.33	7.89	19831
169	IT	it	4.5	4.5	1.5	4	4	3.89	11569
1690	FENCE	fence	6.5	7.2	4.5	5.5	6	5	7804
1691	FLEXIBLE	flexible	10.5	10.5	8.5	8.11	8.5	8	8119
1692	FRIDAY	friday	6.5	7	4.5	5	5	5	8544
1693	THURSDAY	thursday	6.5	7.5	5	6.11	6.33	5.89	21983
1694	WEDNESDAY	wednesday	7.5	9.5	5.5	6.11	6.5	5.89	24503
1696	SURRENDER	surrender	10.5	10.5	7.5	8.11	8.44	8	21277
1697	MONDAY	monday	6.5	6.5	4.5	5	5.11	5	13541
1698	CURVED	curved	7.5	8.5	5.5	7.11	7.33	7	4949
1699	SUNDAY	sunday	6.5	6.5	4.5	4.5	4.5	4	21151
17	EYELID	eyelid	7.5	8.5	5.2	6.5	6.89	6	7549
1700	SATURDAY	saturday	6.5	7.5	4.5	5	5.11	4.89	18600
1702	HOLY	holy	8.5	9.5	6.5	6.11	6.22	6	10010
1703	SIX	six	4.5	5	3.5	4	4	4	19555
1704	SEVEN	seven	5	6.5	3.5	5	5.11	4.89	19107
1705	EIGHT	eight	5.5	6.5	4.5	5.11	5.22	4.89	6674
1706	ELEVEN	eleven	6.5	6.5	5.5	5	5.11	5	6747
1707	TWELVE	twelve	6	7.5	5	6	6.11	5.89	22646
1708	THIRTEEN	thirteen	6.5	7.5	5	6.11	6.37	5.95	21893
1709	FIFTEEN	fifteen	6.5	7.5	5	6.11	6.22	5.95	7883
1710	TWENTY	twenty	6.5	7.5	5.5	6	6.11	5.89	22648
1711	TELL	tell	5.2	6.5	3.5	5	5.11	4.89	21705
1712	OATH	oath	10.5	11.5	8.5	9.11	9.44	9	14446
1713	EIGHTEEN	eighteen	6.5	7.5	5.5	6.11	6.22	5.95	6675
1714	NINETEEN	nineteen	6.5	7.5	5.5	7.11	7.22	6.95	14146
1715	THIRTY	thirty	7.5	7.5	5.5	7	7.11	6.89	21896
1716	FORTY	forty	8.5	9.5	6.5	7	7.11	6.89	8415
1717	FIFTY	fifty	7.5	7.5	5.5	6.11	6.22	6	7887
1718	SIXTY	sixty	7.5	7.5	5.5	7	7.11	6.89	19561
1719	BURY	bury	8.5	9.5	5.5	7.11	7.37	6.89	2663
1720	SIGN	sign	7.5	8.5	4.5	6.11	6.33	5.89	19455
1721	SEVENTY	seventy	7.5	8.5	6.5	7.11	7.37	6.95	19112
1722	EIGHTY	eighty	7.5	8.5	6.5	7.11	7.37	6.95	6680
1724	NINETY	ninety	7.5	8.5	6.5	7.11	7.22	6.89	14149
1725	CORRECT (RIGHT)	correct	7.5	8.5	5.5	6.11	6.22	5.89	4466
1726	WET	wet	4.5	5	3.5	4.61	5	3.89	24558
1727	THRESHOLD	threshold	10.5	12.5	9.5	11.47	11.95	11	21932
1728	ROTTEN	rotten	8.5	8.5	5.5	6.5	7	6	18347
1730	CHEEK	cheek	5.5	7.5	4.5	5.5	6	5	3223
1732	SKY	sky	5.2	5.5	3.5	5.11	5.22	4.89	19634
1733	RAINBOW	rainbow	5.5	6.5	4.5	5.11	5.33	4.89	17120
1739	DECORATE	decorate	8.5	9.5	5.5	7	7.22	6.89	5220
174	PROUD	proud	6.5	7.5	5.2	6.11	6.22	5.95	16748
1740	PINE	pine	7.5	7.5	6.5	6.11	6.22	6	15793
1741	ABOVE	above	6.5	7.5	4.5	6.11	6.22	5.89	43
1743	JOIN	join	7.5	7.5	4.5	6.11	6.22	5.89	11688
1744	SPLEEN	spleen	12.5	11.5	12.5	11.5	12	11	20307
1745	HIP	hip	6.5	6.5	8.5	7	7.11	6.89	9943
1746	BLADDER	bladder	10.5	10.5	6.5	10	10.47	9.89	1965
1747	CUSTOM	custom	10.5	10.5	8.5	9.47	9.95	9	4960
1748	RIDGE	ridge	9.5	9.5	7.5	9.11	9.47	9	18163
1749	TAKE	take	5.2	6	3.5	5.11	5.22	4.89	21520
175	BLOW (OF WIND)	blow	5.8	6.5	4.5	5.11	5.33	4.89	2101
