ID	AUTHOR	YEAR	TAGS	SOURCE_LANGUAGE	TARGET_LANGUAGE	URL	REFS	NOTE	ALIAS
Yi-2025-AffectiveRatings	Yi, Wei and Xu, Haitao and Man, Kaiwen	2025	ratings	Chinese	Chinese	https://doi.org/10.3758/s13428-024-02580-4	Yi2025	This list contains ratings of valence, arousal and perceptual experiences for Chinese words translated from [Warriner et al. 2013](:bib:Warriner2013). Further, ratings of familiarity ([Su et al. 2023a](:bib:Su2023a)) and imageability ([Su et al. 2023b](:bib:Su2023b)) were included here since this data is only available in PDF format elsewhere or the file was corrupted.
Amenta-2025-LexicalRecognition	Amenta, Simona and de Varda, Andrea Gregor and Mandera, Pawel and Keuleers, Emmanuel and Brysbaert, Marc and Marelli, Marco	2025	norms	Italian	Italian	https://doi.org/10.3758/s13428-024-02548-4	Amenta2025	This list contains lexical recognition times for 130,495 Italian words from the Italian Crowdsourcing Project (ICP). Words were originally selected from SUBTLEX-IT ([Crepaldi et al. 2015](:bib:Crepaldi2015)), enriched with inflected forms, rare/morphologically complex words, dictionary entries, and some modern neologisms, then cleaned to remove names, punctuation, and offensive content. Ratings were given by Italian native speakers. Unlike in classic lexical decision tasks, participants were not prompted ro react as quickly as possible but rather to indicate whether they recognized a given word in their own time.	ICP
Redondo-2007-AffectiveRatings	Redondo, Jaime and Fraga, Isabel and Padrón, Isabel and Comesaña, Montserrat	2007	ratings	English	Spanish	https://doi.org/10.3758/BF03193031	Redondo2007	This list contains ratings of valence, arousal and dominance of Spanish words. The data is presented as the mean of all participants' responses, female participants' and male participants' responses. The dataset is a translation of the ANEW (Affective Norms for English Words) list ([Bradley and Lang 1999](:bib:Bradley1999)). Additional data from the Spanish lexical database LEXESP by [Sebastian-Galles et al. (2000)](:bib:Sebastian2000) in this dataset include concreteness and imageability ratings. Two additional LEXESP variables, namely objective frequency and familiarity, can be found in a separate dataset (see [Desrochers et al. (2010)](:bib:Desrochers2010)).	
Ljubesic-2020-Emotions	Ljubešić, Nikola and Markov, Ilia and Fišer, Darrja and Daelemans, Walter	2020	ratings	English	Dutch, Croatian, Slovene	https://aclanthology.org/2020.peoples-1.15/	Ljubesic2020	This list contains ratings for associations of discrete emotions (anger, anticipation, disgust, fear, joy, sadness, surprise and trust) as well as their positive/negative valence. The original ratings were conducted in English (Mohammad & Turney [2010](:bib:Mohammad2010)). This study also provided translations for Dutch, Croatian, and Slovene which were generated with automated translation tools. The present study conducted manual translations for each Slovene and Croatian word and for each Dutch word that has an association rating in at least one column. Translators were asked to take the sentiment and emotion labels that were already associated with the words into account. It appears that the ratings were taken from the original study in English (Mohammad & Turney [2010](:bib:Mohammad2010)) and the novelty of the dataset lies in the updated translations. However, the authors do not make it clear how the dataset was created, so caution is advised.	LiLaH
Martinez-2025-AffectiveRatings	Martínez, Gonzalo and Molero, Juan Diego and González, Sandra and Conde, Javier and Brysbaert, Marc and Reviriego, Pedro	2025	ratings	English	English	https://doi.org/10.3758/s13428-024-02515-z	Martinez2025	This list contains ratings of concreteness, valence and arousal for English items by GPT-4o. The list of words that were rated was sourced from [Warriner et al. 2013](:bib:Warriner2013) and extended. Concreteness was rated on a 5-point scale while valence and arousal were rated on 9-point scales. Soundness of the LLM ratings was ensured by collecting real human ratings and comparing them to the answers given by GPT-4o.
Cameirao-2010-AoA	Cameirão, Manuela L. and Vicente, Selene G.	2010	ratings	Portuguese	Portuguese	https://doi.org/10.3758/BRM.42.2.474	Cameirao2010	This list contains age of acquisition ratings for 1,749 Portuguese words. Participants were asked to rate the age at which they thought they had learned a given word on a 9-point scale ranging from 2 years old to +13 years old. The dataset also includes ratings for familiarity ([Marques 2004](:bib:Marques2004)), concreteness and imageability ([Marques 2005](:bib:Marques2005)) which were added here. The words in the original dataset are capitalized, resulting in the format in the present list.
SanMiguelAbella-2020-MotorContent	San Miguel Abella, Romina A. and González-Nosti, María	2020	ratings	Spanish	Spanish	https://doi.org/10.3758/s13428-019-01241-1	SanMiguelAbella2020	This list contains motor content ratings, i.e. the amount of mobility an actions entails, for 4,565 Spanish verbs given on a 7-point scale. The dataset further includes age of acquisition data from [Alonso et al. 2016](:bib:Alonso2016) which is already included in NoRaRe and not duplicated here. Additionally, the original dataset includes data on frequency, familiarity, imageability and concreteness, sourced from the EsPal database ([Duchon et al. 2013](:bib:Duchon2013)), which were not included here. The verbs in the original dataset are capitalized, resulting in the format in the present list.
Grandy-2020-EmotionImageability	Grandy, Thomas H. and Lindenberger, Ulman and Schmiedek, Florian	2020	ratings	German	German	https://doi.org/10.3758/s13428-019-01294-2	Grandy2020	This list contains ratings of emotionality and imageability of about 2500 German nouns given by younger (21-31 years old) and older (70-86 years old) adults. Ratings for imageability were given on a 100-point sliding scale while ratings for emotionality were given on a 200-point sliding scale. Participants used their mouse cursor to select or slide to a point on the scale, the exact numeric value of their selection was displayed for reference.
Winter-2022-SemanticChange	Winter, Bodo and Srinivasan, Mahesh	2022	relations	English	Global	https://doi.org/10.1080/10926488.2021.1945419	Winter2022	This network contains asymmetrical, cross-linguistically attested semantic changes between semantically related concepts. It is based on the study by [Urban 2011](:bib:Urban2011).
Zalizniak-2024-DatSemShift	Anna Zalizniak and Anna Smirnitskaya and Maksim Russo (Rousseau) and Ilya Gruntov and Timur Maisak and Dmitry Ganenkov and Maria Bulakh and Maria Orlova and Marina Bobrik-Fremke and Oksana Dereza and Tatiana Mikhailova and Maria Bibaeva and Mikhail Voronov	2024	relations	English	Global		Zalizniak2024	This network is based on the Database of Semantic Shifts (DatSemShift), retrieved on February 5, 2024, and converted to CLDF. It captures documented semantic shifts across the world’s languages, linking related concepts where semantic change is attested. Duplicates in the source data are marked with an asterisk and excluded from Concepticon linking and network construction.	DatSemShift
List-2023-Colexifications	Johann-Mattis List	2023	relations	English	Global	https://doi.org/10.3389/fpsyg.2023.1156540	List2023	This network contains data on partial colexification patterns across multiple languages. The study offers three kinds of colexification graphs, two undirected ones, stored in the column LINKED_CONCEPTS, and one directed graph, stored in the column TARGET_CONCEPTS.
Rubehn-2025-ConceptEmbeddings	Rubehn, Arne and List, Johann-Mattis	2025	relations	English	Global	https://aclanthology.org/2025.acl-long.1004/	Rubehn2025	This list contains concept embeddings inferred from cross-lingual (partial) colexification networks.
Xu-2021-AoA	Xu, Xu and Li, Jiayin and Guo, Shulun	2021	ratings	Chinese	Chinese	https://doi.org/10.3758/s13428-020-01455-8	Xu2021	This list contains ratings of age of acquisition (AoA) for 19,716 simplified Chinese words given by 1765 native speakers of Mandarin Chinese. 
Soares-2012-AffectiveRatings	Soares, Ana Paula and Comesaña, Montserrat and Pinheiro, Ana P and Simões, Alberto and Frade, Carla Sofia	2012	ratings	Portuguese	Portuguese	https://doi.org/10.3758/s13428-011-0131-7	Soares2012	This list contains ratings of valence, arousal and dominance for 1,034 Portuguese words. These words were selected from the Affective Norms for English Words (ANEW) database [(Bradley & Lang, 1999)](:bib:Bradley1999) and compared to the Spanish translation used for a similar study conducted by [Redondo et al. (2007)](bib:Redondo2007). The Portuguese translation used here was therefore heavily influenced by the Spanish one used previously. The original dataset provides ratings separately for all, male, and female participants. The present mappings include only the ratings for all participants.	
