ID,ENG 1,ENG 2,PoS,ARA 1,ARA 2,CMN 1,CMN 2,CYM 1,CYM 2,EST 1,EST 2,FIN 1,FIN 2,FRA 1,FRA 2,HEB 1,HEB 2,POL 1,POL 2,RUS 1,RUS 2,SPA 1,SPA 2,SWA 1,SWA 2,YUE 1,YUE 2,scores 1,scores 2,translation 1,translation 2
350,worker,office,nouns,عامل,مكتب,工作者,办公室,gweithiwr,swyddfa,tööline,kontor,työläinen,toimisto,ouvrier,bureau,עובד,משרד,robotnik,biuro,работник,офис,obrero,oficina,ofisi,mfanyakazi,工作者,辦公室,worker,office,worker,office
351,cryptogram,symbol,nouns,شفرة,اشارة,密码,标志,cryptogram,symbol,krüptogramm,sümbol,kryptogrammi,symboli,cryptogramme,symbole,צופן,סמל,kryptogram,symbol,криптограмма,символ,criptograma,símbolo,ishara,maandishi ya siri,密碼,標誌,cryptogram,symbol,cryptogram,symbol
352,apartment,furniture,nouns,شقّة,أثاث,公寓,家具,fflat,dodrefn,korter,mööbel,asunto,huonekalut,appartement,meuble,דירה,רהיט,mieszkanie,meble,квартира,мебель,apartamento,mueble,fleti,fanicha,公寓,家具,apartment,furniture,apartment,furniture
353,box,cigar,nouns,صندوق,سيجار,盒子,雪茄,bwlch,sigâr,karp,sigar,laatikko,sikari,boîte,cigare,קופסה,סיגר,pudełko,cygaro,пачка,сигара,caja,cigarro,sanduku ,sigara,盒子,雪茄,box,cigar,box,cigar
354,desert,dune,nouns,صحراء,كثيب,沙漠,沙丘,anialwch,twyn,kõrb,luide,aavikko,dyyni,désert,dune,מדבר,דיונה,deser,wydma,пустыня,дюна,Desierto,duna,dune,jangwa,沙漠,沙丘,desert,dune,desert,dune
355,lemon,tea,nouns,ليمون,شاي,柠檬,茶,lemwn,te,sidrun,tee,sitruuna,tee,citron,thé,לימון,תה,cytryna,herbata,лимон,чай,limón,té,limau,chai,檸檬,茶,lemon,tea,lemon,tea
356,oak,maple,nouns,بلوط,قيقب,橡木,枫木,derwen,masarnen,tamm,vaher,tammi,vaahtera,chêne,érable,אלון,מייפל,dąb,klon,дуб,клен,roble,arce,mnazi,mpera,橡木,楓木,oak,maple,oak,maple
357,flute,music,nouns,ناي,موسيقى,长笛,音乐,ffliwt,cerddoriaeth,flööt,muusika,huilu,musiikki,flûte,musique,חליל,מוזיקה,flet,muzyka,флейта,музыка,flauta,música,muziki,filimbi,長笛,音樂,flute,music,flute,music
358,money,cash,nouns,مال,نقود,钱,现金,arian,arian parod,raha,sularaha,raha,käteinen,argent,liquide,כסף,מזומן,pieniądze,gotówka,деньги,наличные,dinero,efectivo,pesa,hela,錢,現金,money,cash,money,cash
359,brow,eye,nouns,حاجب,عين,眉头,眼睛,ael,llygad,kulm,silm,kulmakarva,silmä,sourcil,œil,גבה,עין,brew,oko,бровь,глаз,frente,ojo,nyusi,jicho,眉頭,眼睛,brow,eye,brow,eye
360,saving,saver,nouns,توفير,موفّر,存款,储蓄者,arbediad,cynilwr,kokkuhoid,säästja,säästö,säästäjä,épargne,épargnant,חיסכון,אדם חסכן,oszczędność,ciułacz,сбережения,бережливый человек,ahorro,ahorrador,saver,kuokoa,存款,儲蓄者,saving,saver,saving,saver
361,hip,lip,nouns,ورك,شفّة,臀部,唇,clun,gwefus,puus,huul,lonkka,huuli,hanche,lèvre,ירך,שפה,biodro,warga,бедро,губа,cadera,labio,nyonga,mdomo,臀部,嘴唇,hip,lip,hip,lip
362,magma,volcano,nouns,صهارة,بركان,岩浆,火山,magma,llosgfynydd,magma,vulkaan,magma,tulivuori,magma,volcan,מגמה,הר געש,magma,wulkan,магма,вулкан,magma,volcán,volkano,magma,岩漿,火山,magma,volcano,magma,volcano
363,pipe,cigar,nouns,غليون تدخين,سجار,烟斗,雪茄,pibell,sigâr,toru,sigar,putki,sikari,pipe,cigare,מקטרת,סיגר,rura,cygaro,трубка,сигара,tubo,cigarro,bomba,sigara,煙鬥,雪茄,pipe,cigar,pipe,cigar
364,anthropology,archaeology,nouns,علم الانسان,علم الاثار,人类学,考古学,anthropoleg,archeoleg,antropoloogia,arheoloogia,antropologia,arkeologia,anthropologie,archéologie,אנתרופולוגיה,ארכיאולוגיה,antropologia,archeologia,антропология,археология,antropología,arqueología,akiolojia,anthropolojia,人類學,考古學,anthropology,archaeology,anthropology,archaeology
365,hill,cliff,nouns,تل,جرف,小山,悬崖,bryn,clogwyn,küngas,kalju,mäki,kalliojyrkänne,colline,falaise,גבעה,צוק,wzgórze,klif,холм,утес,colina,acantilado,kilima,jabali,小山,懸崖,hill,cliff,hill,cliff
366,game,fun,nouns,لعبة,متعة,游戏,乐趣,gêm,hwyl,mäng,lõbu,peli,hauskuus,jeu,amusement,משחק,כיף,gra,zabawa,игра,веселье,juego,divertido,mchezo,burudani,遊戲,樂趣,game,fun,game,fun
367,depth,magnitude,nouns,عمق,مقدار,深度,大小,dyfnder,maint,sügavus,ulatus,syvyys,suuruus,profondeur,magnitude,עומק,גודל,głębia,wielkość,глубина,величина,profundidad,magnitud,kina,ukubwa,深度,大小,depth,magnitude,depth,magnitude
368,brother,soul,nouns,أخ,روح,兄弟,灵魂,brawd,enaid,vend,hing,veli,sielu,frère,âme,אח,נשמה,brat,dusza,брат,человек,hermano,alma,kaka,roho ,兄弟,靈魂,brother,soul,brother,soul
369,bias,opinion,nouns,انحياز,رأي,偏压,意见,tuedd,barn,eelarvamus,arvamus,puolueellisuus,mielipide,préjugé,opinion,נטייה,דעה,skłonność,opinia,предубеждение,мнение,parcialidad,opinión,upendeleo,oni,偏壓,意見,bias,opinion,bias,opinion
370,rhythm,melody,nouns,ايقاع,لحن,节奏,旋律,rhythm,alaw,rütm,meloodia,rytmi,melodia,rythme,mélodie,קצב,מנגינה,rytm,melodia,ритм,мелодия,ritmo,melodía,pigo,tuni,節奏,旋律,rhythm,melody,rhythm,melody
371,formula,log,nouns,معادلة,سجل,公式,日志,fformiwla,log,valem,logaritm,kaava,tukki,formule,registre,נוסחה,יומן,formuła,rejestr,формула,журнал,fórmula,tronco,kanuni,kuzidisha,公式,日誌,formula,log,formula,log
372,bishop,muslim,nouns,أسقف,مسلم,主教,穆斯林,esgob,mwslim,piiskop,moslem,piispa,muslimi,évêque,musulman,בישוף,מוסלמי,biskup,muzułmanin,епископ,мусульман,obispo,musulmán,mwislamu,askofu,主教,穆斯林,bishop,muslim,bishop,muslim
373,clothes,jacket,nouns,ملابس,سترة,衣服,外套,dillad,siaced,riided,jakk,vaatteet,jakku,vêtement,veste,בגדים,מעיל,ubrania,kurtka,одежда,пиджак,ropa,chaqueta,nguo,jaketi,衣服,褸,clothes,jacket,clothes,jacket
374,nose,mouth,nouns,أنف,فم,鼻子,嘴巴,trwyn,ceg,nina,suu,nenä,suu,nez,bouche,אף,פה,nos,usta,нос,рот,nariz,boca,pua,kinywa,鼻子,嘴巴,nose,mouth,nose,mouth
375,yarn,thread,nouns,غزل,خيط,纱,线,edafedd,edau,lõng,niit,lanka,ompelulanka,brin,fil,חוט,פתיל,przędza,nić,пряжа,нить,ovillo,hilo,uzi,nyuzi,紗,線,yarn,thread,yarn,thread
376,highway,road,nouns,طريق سريع,طريق,高速公路,路,priffordd,ffordd,maantee,tee,moottoritie,tie,voie-rapide,route,כביש מהיר,כביש,szosa,droga,шоссе,дорога,autopista,carretera,barabara,barabara kuu,高速公路,路,highway,road,highway,road
377,pesticide,pest,nouns,مبيد الحشرات,حشرة,农药,虫害,plaladdwr,pla,putukamürk,putukas,torjunta-aine,tuhoeläin,pesticide,parasite,מדביר,מזיק,pestycyd,szkodnik,пестицид,вредитель,pesticida,parásito,wadudu,dawa ya wadudu,農藥,蟲害,pesticide,pest,pesticide,pest
378,cup,jar,nouns,كوب,اناء,杯子,罐子,cwpan,jar,tass,klaaspurk,kuppi,purkki,tasse,bocal,כוס,צנצנת,filiżanka,słoik,чашка,кувшин,vaso,tarro,kikombe,kopo,杯子,罐子,cup,jar,cup,jar
379,street,car,nouns,شارع,سيارة,街,汽车,stryd,car,tänav,auto,katu,auto,rue,voiture,רחוב,מכונית,ulica,samochód,улица,автомобиль,calle,coche,mtaa,gari,街,汽車,street,car,street,car
380,captain,sailor,nouns,قبطان,ملّاح,队长,水手,capten,morwr,kapten,madrus,kapteeni,merimies,capitaine,marin,חובל,מלח,kapitan,żeglarz,капитан,моряк,capitán,marinero,kapteni,mwanamaji,隊長,水手,captain,sailor,captain,sailor
381,theory,hypothesis,nouns,نطرية,فرضية,理论,假设,theori,damcaniaeth,teooria,hüpotees,teoria,hypoteesi,théorie,hypothèse,תיאוריה,היפותזה,teoria,hipoteza,теория,гипотеза,teoría,hipótesis,kanunu,nadharia,理論,假設,theory,hypothesis,theory,hypothesis
382,orthodontist,dentist,nouns,طبيب تقويم الأسنان,طبيب الأسنان,正牙医生,牙医,orthodontydd,deintydd,ortodont,hambaarst,ortodontti,hammaslääkäri,orthodontiste,dentiste,דוקטור,רופא,ortodonta,dentysta,ортодонт,дантист,ortodoncista,dentista,daktari wa meno,mtaalamu wa meno,正牙醫生,牙醫,orthodontist,dentist,orthodontist,dentist
383,charger,disk,nouns,شاحن,أسطوانة,充电器,磁盘,gwefrydd,disg,laadija,ketas,laturi,levy,chargeur,disque,מטען,דיסק,ładowarka,dysk,зарядное устройство,диск,cargador,disco,diski,chaja,充電器,磁盤,charger,disk,charger,disk
384,cheek,tongue,nouns,خد,لسان,脸颊,舌头,boch,tafod,põsk,keel,poski,kieli,joue,langue,לחי,לשון,policzek,język,щека,язык,mejilla,lengua,shavu,ulimi,臉頰,舌頭,cheek,tongue,cheek,tongue
385,soldier,peace,nouns,جندي,سلام,士兵,和平,milwr,heddwch,sõdur,rahu,sotilas,rauha,soldat,paix,חייל,שלום,żołnierz,pokój,солдат,мир,soldado,paz,amani,mwanajeshi,士兵,和平,soldier,peace,soldier,peace
386,film,theatre,nouns,فيلم,مسرح,电影,剧院,ffilm,theatr,film,teater,elokuva,teatteri,film,théâtre,סרט,תיאטרון,film,teatr,фильм,театр,película,teatro,ukumbi,filamu,電影,劇院,film,theatre,film,theatre
387,cancer,sickness,nouns,سرطان,مرض,癌症,疾病,canser,salwch,vähk,haigus,syöpä,pahoinvointi,cancer,maladie,סרטן,מחלה,rak,choroba,рак,болезнь,cáncer,enfermedad,saratani,maradhi,癌症,疾病,cancer,sickness,cancer,sickness
388,club,society,nouns,نادي,مجتمع,俱乐部,社会,clwb,cymdeithas,klubi,ühiskond,kerho,yhdistys,club,société,מועדון,חברה,klub,stowarzyszenie,клуб,общество,club,sociedad,klabu,jamii,俱樂部,社會,club,society,club,society
389,attitude,confidence,nouns,موقف,ثقة,态度,自信,agwedd,hyder,suhtumine,kindlus,asenne,itseluottamus,attitude,confiance,גישה,אמון,postawa,pewność siebie,настрой,уверенность,actitud,confianza,mtazamo,hakika,態度,自信,attitude,confidence,attitude,confidence
390,bike,skin,nouns,درّاجة,جلد,自行车,皮肤,beic,croen,ratas,nahk,pyörä,iho,vélo,revêtement,אופניים,עור,rower,skóra,велосипед,кожа,bicicleta,piel,ngozi,baiskeli,自行車,皮膚,bike,skin,bike,skin
391,crime,attack,nouns,جريمة,هجوم,犯罪,攻击,trosedd,ymosodiad,kuritegu,rünnak,rikos,hyökätä,criminalité,attaque,פשע,תקיפה,przestępstwo,atak,преступление,атака,delito,ataque,shambulio,uhalifu,犯罪,攻擊,crime,attack,crime,attack
392,tail,rear,nouns,ذنب,خلفي,尾巴,后部,cynffon,cefn,pära,tagumine,häntä,takaosa,queue,arrière,זנב,עורף,ogon,tył,хвост,затылок,cola,posterior,nyuma,mkia,尾巴,後部,tail,rear,tail,rear
393,sergeant,gun,nouns,رقيب,بندقية,军士,枪,sarsiant,gwn,seersant,relv,kersantti,ase,sergent,pistolet,סמל,אקדח,sierżant,pistolet,сержант,пистолет,sargento,pistola,bunduki,mjeshi,軍士,槍,sergeant,gun,sergeant,gun
394,hole,agreement,nouns,حفرة,اتفاق,洞,协议,twll,cytundeb,auk,kokkulepe,reikä,sopimus,trou,accord,חור,הסכם,dziura,porozumienie,прореха,соглашение,agujero,acuerdo,tundu,mapatano,洞,協議,hole,agreement,hole,agreement
395,child,boy,nouns,طفل,صبي,儿童,男孩,plentyn,bachgen,laps,poiss,lapsi,poika,enfant,garçon,ילד,בן,dziecko,chłopiec,ребенок,мальчик,niño,chico,mtoto,mvulana,兒童,男孩,child,boy,child,boy
396,head,nail,nouns,رأس,ظفر,头,指甲,pen,ewin,pea,küüs,pää,kynsi,tête,ongle,ראש,ציפורן,głowa,paznokieć,шляпка,гвоздь,cabeza,uña,kichwa,msumari,頭,指甲,head,nail,head,nail
397,book,article,nouns,كتاب,مقال,书,文章,llyfr,erthygl,raamat,artikkel,kirja,artikkeli,livre,article,ספר,מאמר,książka,artykuł,книга,статья,libro,artículo,kitabu,makala,書,文章,book,article,book,article
398,book,text,nouns,كتاب,نص,书,正文,llyfr,testun,raamat,tekst,kirja,teksti,livre,texte,ספר,טקסט,książka,tekst,книга,текст,libro,texto,kitabu,andiko,書,正文,book,text,book,text
399,bible,hymn,nouns,الكتاب المقدّس,ترنيمة,圣经,圣歌,Beibl,emyn,piibel,hümn,raamattu,virsi,bible,hymne,תורה,המנון,biblia,hymn,библия,псалом,Biblia,himno,biblia,nyimbo,聖經,聖歌,bible,hymn,bible,hymn
400,wife,straw,nouns,زوجة,قش,妻子,稻草,gwraig,gwellt,abikaasa (naine),kõrs,vaimo,pilli,femme,paille,רעיה,קש,żona,słoma,жена,солома,esposa,cañita,mke,majani makavu,妻子,稻草,wife,straw,wife,straw
401,racket,noise,nouns,مضرب,ضجيج,吵闹,喧闹声,raced,sŵn,rakett,lärm,maila,melu,raquette,bruit,המולה,רעש,rakieta,hałas,грохот,шум,raqueta,ruido,ghasia ,kelele,吵鬧,喧鬧聲,racket,noise,racket,noise
402,semester,term,nouns,نصف السنة,فصل دراسي,半学年,学期,semester,tymor,semester,periood,lukukausi,termi,semestre,trimestre,סמסטר,תקופה,semestr,trymestr,семестр,срок,semestre,término,muhula,awamu,半學年,學期,semester,term,semester,term
403,task,straw,nouns,مهمة,قش,任务,稻草,tasg,gwellt,ülesanne,kõrs,tehtävä,pilli,tâche,paille,משימה,קש,zadanie,słoma,задача,пустяк,tarea,cañita,jukumu,majani makavu,任務,稻草,task,straw,task,straw
404,grass,blade,nouns,عشب,شفرة,草,刀口,glaswellt,llafn,muru,tera,ruoho,terä,herbe,lame,דשא,להב,trawa,źdźbło,трава,травинка,hierba,espada,nyasi,jani,草,刀口,grass,blade,grass,blade
405,bed,furniture,nouns,سرير,اثار,床,家俱,gwely,dodrefn,voodi,mööbel,sänky,huonekalut,lit,meuble,מיטה,רהיט,łóżko,meble,кровать,мебель,cama,mueble,kitanda,fanicha,床,傢俱,bed,furniture,bed,furniture
406,guitar,drum,nouns,قيثار,طبل,吉他,鼓,gitâr,drwm,kitarr,trumm,kitara,rumpu,guitare,batterie,גיטרה,תוף,gitara,bęben,гитара,барабан,guitarra,tambor,gitaa,ngoma,吉他,鼓,guitar,drum,guitar,drum
407,airport,piece,nouns,مطار,قطعة,飞机场,片,maes awyr,darn,lennujaam,tükk,lentokenttä,pala,aéroport,pièce,שדה תעופה,חלק,lotnisko,kawałek,аэропорт,кусок,aeropuerto,pieza,kipande,uwanja wa ndege,飛機場,片,airport,piece,airport,piece
408,flower,bulb,nouns,زهرة,مصباح,花朵,灯泡,blodyn,bwlb,lill,mugul,kukka,polttimo,fleur,bulbe,פרח,פקעת,kwiat,cebulka,цветок,луковица,flor,bulbo,ua,chavua,花朵,燈泡,flower,bulb,flower,bulb
409,chart,graph,nouns,جدول,رسم بياني,图表,图解,siart,graff,diagramm,graafik,kaavio,kuvaaja,carte,graphique,תרשים,גרף,diagram,wykres,диаграмма,график,gráfico,grafico,jedwali,chati,圖表,圖解,chart,graph,chart,graph
410,circumcision,foreskin,nouns,ختان,قلفة,割礼,包皮,enwaediad,blaengroen,ümberlõikus,eesnahk,ympärileikkaus,esinahka,circoncision,prépuce,ברית מילה,עורלה,obrzezanie,napletek,обрезание,крайняя плоть,circuncisión,prepucio,govi,tohara,割禮,包皮,circumcision,foreskin,circumcision,foreskin
411,oil,mink,nouns,زيت,منك,油,貂,olew,minc,õli,naarits,öljy,minkki,huile,vison,שמן,מינק,olej,norka,масло,норка,petróleo,visón,mafuta,ngozi,油,貂,oil,mink,oil,mink
412,adult,baby,nouns,بالغ,طفل,成年人,婴儿,oedolyn,babi,täiskasvanu,imik,aikuinen,vauva,adulte,bébé,מבוגר,תינוק,dorosły,niemowlę,взрослый,младенец,adulto,bebé,mtu mzima,mtoto mchanga,成人,嬰兒,adult,baby,adult,baby
413,judge,court,nouns,قاضي,محكمة,法官,法庭,barnwr,llys,kohtunik,kohus,tuomari,tuomioistuin,juge,tribunal,שופט,בית משפט,sędzia,sąd,судья,суд,juez,Corte,korti,hakimu,法官,法庭,judge,court,judge,court
414,crime,violation,nouns,جريمة,مخالفة,犯罪,违反,trosedd,ymyriad,kuritegu,rikkumine,rikos,loukkaus,infraction,violation,פשע,הפרה,przestępstwo,pogwałcenie,преступление,нарушение,crimen,violación,uhalifu,kosa,犯罪,違反,crime,violation,crime,violation
415,whiskey,champagne,nouns,وسيكي,شامبانيا,威士忌酒,香槟,wisgi,siampên,viski,šampus,viski,shamppanja,whisky,champagne,וויסקי,שמפניה,whisky,szampan,виски,шампанское,whisky,champán,wiski,shampeni,威士忌酒,香檳,whiskey,champagne,whiskey,champagne
416,handbook,guidebook,nouns,كتيّب,دليل,手册,指南,llawlyfr,teithlyfr,käsiraamat,teejuht,käsikirja,ohjekirja,manuel,guide,חוברת הדרכה,מדריך טיולים,podręcznik,przewodnik,справочник,путеводитель,manual,guía,kitabu cha mwongozi,kitabu cha mkono,手冊,指南,handbook,guidebook,handbook,guidebook
417,accident,book,nouns,حادث,كتاب,意外,书,damwain,llyfr,õnnetus,raamat,onnettomuus,kirja,accident,registre,תאונה,ספר,wypadek,książka,авария,книга,accidente,libro,kitabu,ajali,意外,書,accident,book,accident,book
418,tin,metal,nouns,قصدير,معدن,锡,金属,tun,metel,tina,metall,säilyketölkki,metalli,étain,métal,פח,מתכת,blacha,metal,олово,металл,estaño,metal,bati,chuma,錫,金屬,tin,metal,tin,metal
419,mode,fashion,nouns,أسلوب,موضة,模式,时装,modd,ffasiwn,moodus,mood,tila,muoti,mode,haute-couture,צורה,אופנה,tryb,moda,форма,мода,modo,Moda,mtindo,njia,模式,時裝,mode,fashion,mode,fashion
420,apocalypse,fire,nouns,نهاية العالم,حريق,大灾变,火,apocalyps,tân,apokalüpsis,tuli,apokalypsi,tuli,apocalypse,feu,אפוקליפסה,שריפה,apokalipsa,ogień,апокалипсис,пожар,apocalipsis,fuego,moto,siku ya mwisho,大災變,火,apocalypse,fire,apocalypse,fire
421,keyboard,light,nouns,لوحة مفاتيح,ضوء,键盘,光,bysellfwrdd,golau,klaviatuur,valgus,näppäimistö,valo,clavier,lumière,מקלדת,אור,klawiatura,światło,клавиатура,свет,teclado,ligero,mwanga,kibodi,鍵盤,光,keyboard,light,keyboard,light
422,brother,son,nouns,أخ,إبن,哥哥,儿子,brawd,mab,vend,poeg,veli,poika,frère,fils,אח,בן,brat,syn,брат,сын,hermano,hijo,kaka,mtoto wa kiume,哥哥,兒子,brother,son,brother,son
423,worker,employer,nouns,عامل,صاحب العمل,工作者,雇主,gweithiwr,cyflogwr,tööline,tööandja,työntekijä,työnantaja,ouvrier,employeur,עובד,מעסיק,robotnik,pracodawca,работник,работодатель,obrero,empleador,mfanyakazi,mwajiri,工作者,雇主,worker,employer,worker,employer
424,preheat,reheat,nouns,سخن مقدما,اعادة تسخين,预热,再热,cynhesu,ailgynhesu,eelsoojendama,taassoojendama,esilämmitys,uudelleenlämmitys,préchauffage,réchauffage,חימום מראש,חימום מחדש,nagrzewać,odgrzewać,прогрев,подогрев,precalentamiento,recalentamiento,choma,pasha kabla,預熱,再熱,preheat,reheat,preheat,reheat
425,chapter,tail,nouns,فصل,ذنب,章,尾巴,pennod,cynffon,peatükk,ots,kappale,häntä,chapitre,queue,פרק,זנב,rozdział,ogon,глава,конец,capítulo,cola,sura,mkia,章,尾巴,chapter,tail,chapter,tail
426,death,catastrophe,nouns,موت,كارثة,死亡,灾难,marwolaeth,trychineb,surm,katastroof,kuolema,katastrofi,mort,catastrophe,מוות,אסון,śmierć,katastrofa,смерть,бедствие,muerte,catástrofe,kifo,balaa,死亡,災難,death,catastrophe,death,catastrophe
427,wall,decoration,nouns,حائط,زينة,墙壁,装饰,wal,addurn,sein,dekoratsioon,seinä,koriste,mur,décoration,קיר,קישוט,ściana,dekoracja,стена,отделка,pared,decoración,ukuta,pambo,牆壁,裝飾,wall,decoration,wall,decoration
428,atmosphere,ozone,nouns,غلاف الجوّي,الاوزون,大气层,臭氧,awyrgylch,osôn,atmosfäär,osoon,tunnelma,otsoni,atmosphère,ozone,אטמוספירה,אוזון,atmosfera,ozon,атмосфера,озон,atmósfera,ozono,ozoni,hali ya anga,大氣層,臭氧,atmosphere,ozone,atmosphere,ozone
429,liquor,band,nouns,خمر,فرقة,酒,乐队,gwirod,band,naps,bänd,väkijuoma,yhtye,alcool,groupe,ליקר,להקה,trunek,zespół,спиртное,группа,espíritu,banda,pombe,bendi,酒,樂隊,liquor,band,liquor,band
430,will,intention,nouns,ارادة,قصد,意志,意图,ewyllys,bwriad,tahe,kavatsus,tahto,tarkoitus,volonté,intention,רצון,כוונה,wola,intencja,воля,намерение,será,intención,nia,hiari,意志,意圖,will,intention,will,intention
431,reality,illusion,nouns,واقع,وهم,现实,幻想,realiti,rhith,reaalsus,illusioon,todellisuus,illuusio,réalité,illusion,מציאות,אשליה,rzeczywistość,iluzja,реальность,иллюзия,realidad,espejismo,uhalisi,njozi,現實,幻想,reality,illusion,reality,illusion
432,motor,boat,nouns,محرك,قارب,电动机,船,modur,cwch,mootor,paat,moottori ,vene,moteur,bateau,מנוע,סירה,motor,łódź,мотор,лодка,motor,bote,mota,boti,電動機,船,motor,boat,motor,boat
433,decomposition,factorization,nouns,تفكيك,تحليل الى عوامل,分解,因式分解,dadelfennu,ffactorio,lagunemine,teguriteks lahutamine,biohajoaminen,tekijöihinjako,décomposition,factorisation,פירוק,פירוק לגורמים,rozszczepienie,faktoryzacja,разложение,факторизация,descomposición,factorización,sababu,utengano,分解,因式分解,decomposition,factorization,decomposition,factorization
434,bell,door,nouns,جرس,باب,钟,门,cloch,drws,kell,uks,kello,ovi,sonnette,porte,פעמון,דלת,dzwon,drzwi,звонок,дверь,campana,puerta,kengele,mlango,鐘,門,bell,door,bell,door
435,mask,party,nouns,قناع,حفلة,面具,派对,mwgwd,parti,mask,pidu,naamio,juhla,masque,fête,מסיכה,מסיבה,maska,impreza,маска,вечеринка,máscara,partido,sherehe,maski,面具,派對,mask,party,mask,party
436,beach,island,nouns,شاطئ,جزيرة,海滩,岛,traeth,ynys,rand,saar,ranta,saari,plage,île,חוף,אי,plaża,wyspa,пляж,остров,playa,isla,ufuko,kisiwa,海灘,島,beach,island,beach,island
437,mansion,sculptor,nouns,قصر,نحّات,大厦,雕塑家,plasty,cerflunydd,mõis,skulptor,kartano,kuvanveistäjä,château,sculpteur,אחוזה,פסל,posiadłość,rzeźbiarz,особняк,скульптор,palacio,escultor,sonara,nyumba,大廈,雕塑家,mansion,sculptor,mansion,sculptor
438,app,galaxy,nouns,برماجيّة,جالكسي,应用,星系,ap,galaeth,rakendus,galaktika,sovellus,galaksi,application,galaxie,אפליקציה,גלקסי,aplikacja,galaktyka,приложение,галакси,aplicación,galaxia,giligili,programu tumishi,應用程式,星系,app,galaxy,app,galaxy
439,death,tragedy,nouns,موت,مأساة,死亡,悲剧,angau,trasiedi,surm,tragöödia,kuolema,tragedia,mort,tragédie,מוות,טרגדיה,śmierć,tragedia,смерть,трагедия,muerte,tragedia,kifo,balaa,死亡,悲劇,death,tragedy,death,tragedy
440,electricity,case,nouns,كهرباء,حالة,电,案件,trydan,cas,elekter,karp,sähkö,tapaus,électricité,boîtier,חשמל,תיבה,elektryczność,futerał,электричество,ящик,electricidad,caso,kesi,umeme,電,案件,electricity,case,electricity,case
441,book,bible,nouns,كتاب,كتاب المقدس,书,圣经,llyfr,Beibl,raamat,piibel,kirja,raamattu,livre,bible,ספר,תורה,książka,biblia,книга,библия,libro,Biblia,kitabu,biblia,書,聖經,book,bible,book,bible
442,pencil,story,nouns,قلم رصاص,قصة,铅笔,故事,pensil,stori,pliiats,lugu,kynä,tarina,crayon,histoire,עפרון,סיפור,ołówek,opowieść,карандаш,сказка,lápiz,historia,hadithi,penseli,鉛筆,故事,pencil,story,pencil,story
443,cloud,window,nouns,غيمة,شبّاك,云,窗口,cwmwl,ffenestr,pilv,aken,pilvi,ikkuna,nuage,fenêtre,ענן,חלון,chmura,okno,облако,окно,nube,ventana,dirisha,wingu,雲,窗口,cloud,window,cloud,window
444,drought,water,nouns,جفاف,ماء,干旱,水,sychder,dŵr,põud,vesi,kuivuus,vesi,sécheresse,eau,בצורת,מים,susza,woda,засуха,вода,sequía,agua,maji,ukame,乾旱,水,drought,water,drought,water
445,coin,payment,nouns,نقد معدني,دفع,硬币,付款,ceiniog,taliad,münt,makse,kolikko,korvaus,pièce de monnaie,paiement,מטבע,תשלום,moneta,płatność,монета,оплата,moneda,pago,malipo,sarafu,硬幣,付款,coin,payment,coin,payment
446,director,cinematography,nouns,مخرج,تصوير سينمائي,导演,摄影,cyfarwyddwr,sinematograffeg,režissöör,kinematograafia,ohjaaja,elokuvaus,réalisateur,cinématographie,במאי,סינמטוגרפיה,reżyser,kinematografia,режиссер,кинематография,director,cinematografía,sinema,mkurugenzi,導演,攝影,director,cinematography,director,cinematography
447,flower,violet,nouns,زهرة,بنفسجي,花朵,紫罗兰,blodyn,fioled,lill,kannike,kukka,orvokki,fleur,violette,פרח,סיגלית,kwiat,fiołek,цветок,фиалка,flor,Violeta,ua,waridi,花朵,紫羅蘭,flower,violet,flower,violet
448,cousin,uncle,nouns,ابن العم,عم,表哥,叔叔,cefnder,ewythr,nõbu,onu,serkku,setä,cousin,oncle,דודן,דוד,kuzyn,wujek,кузен,дядя,prima,tío,binamu,mjomba,表哥,叔叔,cousin,uncle,cousin,uncle
449,reburial,tomb,nouns,اعادة دفن,قبر,重新安葬,坟墓,beddrod,bedd,taasmatmine,hauakamber,uudelleenhautaaminen,hauta,réinhumation,tombe,קבורה מחדש,קבר,ponowny pochówek,grób,перезахоронения,гробница,renacimiento,tumba,kaburi,zika upya,重新安葬,墳墓,reburial,tomb,reburial,tomb
450,song,performer,nouns,اغنية,فنّان,歌曲,演员,cân,perfformiwr,laul,esineja,laulu,esiintyjä,chanson,interprète,שיר,מבצע,piosenka,wykonawca,песня,исполнитель,canción,bailarín,mwigizaji,wimbo,歌曲,演員,song,performer,song,performer
451,policeman,politician,nouns,شرطي,سياسي,警察,政治家,plismon,gwleidydd,politseinik,poliitik,poliisi,poliitikko,policier,politicien,שוטר,פוליטיקאי,policjant,polityk,полицейский,политик,policía,político,mwanasiasa,polisi,警察,政治家,policeman,politician,policeman,politician
452,level,score,nouns,مستوى,نتيجة,水平,得分,lefel,sgôr,tase,tulemus,taso,tulokset,niveau,résultat,שלב,ניקוד,poziom,wynik,уровень,гол,nivel,Puntuación,alama,kiwango,水平,得分,level,score,level,score
453,value,belief,nouns,قيمة,ايمان,价值观,信念,gwerth,cred,väärtus,uskumus,arvo,uskomus,valeur,croyance,ערך,אמונה,wartość,przekonanie,ценность,вера,valor,creencia,maadili,imani,價值觀,信念,value,belief,value,belief
