NUMBER	GLOSS	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT MATTIS	Comment Kristina	Comment Mei-Shin	Comments Tiago	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
437	cat	cat	nouns	1208	CAT					601:1 886:1	dog mouse	2	5	猫	chat	кошка	gato	0.45454545454545453 0.2727272727272727	2.5 2.2	0.4 0.6	0.7 0.5	0.9338578088578089 0.7460955710955712
438	cat	cat	nouns	1208	CAT					49:0 188:0 639:0	rabbit pet lion	3	5	猫	chat	кот	gato	0.5454545454545454 3.3636363636363638 0.9090909090909091	1.9 4.2 2.9	0.3 1.2 0.6	0.9 3.3 1.2	0.9997668997669001 2.8691142191142185 1.7262237762237769
441	catch	catch	verbs	702	CATCH					1713:0	chase	1	4	抓住	attraper	ловить	capturar	2.181818182	1.7	1.9	1.1	1.297144522
442	catch	catch	verbs	702	CATCH					1741:1	capture	1	4	抓住	attraper	ловить	agarrar	3.909090909	5.7	2.1	3.3	3.963636364
443	catch	catch	verbs	702	CATCH					1317:1 1557:0	receive release	2	4	抓住	attraper	ловить	captura	0.2727272727272727 0.2727272727272727	3.8 0.4	0.5 0.1	0.3 0.4	1.1912587412587416 0.417016317016317
444	caterpillar	caterpillar	nouns	2247	CATERPILLAR					1048:1	silkworm	1	1	毛毛虫	chenille	гусеница	oruga	2	3.6	2.8	3.1	2.50955711
446	cattle	cattle	nouns	1153	CATTLE					14:1	sheep	1	4	牛	bétail	скот	ganado	1.363636364	4	3.2	2.7	2.242599068
447	cattle (cow)	cattle	nouns	1153	CATTLE		Russian here: cow			133:0	yogurt	1	4	家牛	bétail	коро́ва	ganado	0.5454545455	0.3	0.3	0.6	0.403962704
448	cattle	cattle	nouns	1153	CATTLE					128:0 549:1	beef cow	2	4	家牛	bétail	скот	ganado	2.909090909090909 3.5454545454545454	4.5 4.1	2.9 2.5	3.5 2.6	2.780652680652681 3.4972610722610717
1475	let	let	verbs	2896	CAUSE TO (LET)				“dejar” is more “to let”; I cannot find or think a common single word for “cause to”, it is more an expression usually – perhaps “provocar”	1500:0	allow	1	1	让	laisser	позволять	dejar	3.454545455	4.9	5	5.1	3.822086247
464	certain	certain	adjectives			I unmapped "certain" another time. This is all not "certain" enough here.				1140:0	nervous	1	2	某些	certain	уверенный	cierto	0	0.3	0.1	0.1	0.09924242424
465	convinced	certain	adjectives			Here, we can use the Russian as a discriminator, I think, of a more specific meaning of "certain".	Russian here: convinced (of a person)			1156:0	sure	1	2	确定	certain	убежденный	cierto	5.181818182	6	2	3.4	4.488111888
2434	sure (of person)	sure	adjectives			All translations are strange.	unmapped. CERTAIN in Concepticon is not a character trait, is it?			1107:1	confident	1	2	肯定	sûr	уверенный	Por supuesto	3	5.6	2.6	0.6	3.759498834
2435	sure (of person)	sure	adjectives			All translations are strange.	unmapped			1156:1	certain	1	2	肯定	sûr	бесспорный	seguro	5.181818182	6	2	3.4	4.488111888
466	chair	chair	nouns	1476	CHAIR					180:1 226:0 235:1 710:0 956:1	bed bench sofa stool telescope	5	5	椅子	chaise	стул	silla	0.36363636363636365 3.727272727272727 2.1818181818181817 5.545454545454546 0.0	2.1 3.6 3.5 4.2 0.4	0.2 1.7 1.0 2.9 0.0	1.4 3.5 2.6 3.2 0.2	0.9350233100233102 3.167191142191142 2.3804195804195802 3.63986013986014 0.0825757575757576
470	change (tr. and intr.)	change	verbs	1264	CHANGE		Russian here: also tr change			1761:1	alter	1	1	更改	changer	менять	cambiar	3.818181818	5.5	2.1	4.2	3.801282051
76	alter	alter	verbs	2856	CHANGE (SOMETHING)					1761:0	change	1	1	改变	altérer	изменять	alterar	3.818181818	5.5	2.1	4.2	3.801282051
478	character (of a person)	character	nouns				unmapped. CHARACTER refers to symbols			152:0	person	1	1	人物	personnage	персонаж	personaje	4.272727273	4.7	2.5	2.8	2.94032634
1148	graph (for analysis)	graph	nouns				unmapped	图片 is graph, 图解 is " use graph to analyse or calculate"		409:1	chart	1	1	图解	graphique	график	grafico	3.181818182	2	3.8	5.5	3.723601399
479	charcoal	charcoal	nouns	1188	CHARCOAL					498:0	coal	1	1	木炭	houille	рашкуль	carboncillo	2.090909091	4.6	0.7	2.3	2.887237762
485	cheap	cheap	adjectives	1887	CHEAP					1079:1	affordable	1	3	便宜	bon marché	дешевый	barato	2.909090909	5.7	2.3	4.6	3.657284382
486	cheap	cheap	adjectives	1887	CHEAP					1166:1	inexpensive	1	3	便宜	abordable	дешевый	barato	3.909090909	5.7	4.9	5.1	4.547668998
487	cheap	cheap	adjectives	1887	CHEAP	Flagged Chinese as wrong translation.		淫賤 is obscene		1235:1	dirty	1	3	!淫贱	bon marché	дешевый	barato	0.6363636364	0.3	0	0	0.3382284382
489	check (in chess)	check	nouns				unmapped; condition in chess			731:1	chess	1	1	检查	échouage	шах	comprobar	0.1818181818	1.6	1.6	0.2	1.169638695
490	cheek	cheek	nouns	1730	CHEEK					384:0	tongue	1	1	脸颊	joue	щека	mejilla	0	2	1	0.4	0.8296620047
492	cheese	cheese	nouns	1569	CHEESE					965:1	bread	1	1	芝士	fromage	сыр	queso	0.2727272727	2.2	0.4	0.4	0.7143356643
495	cherry	cherry	nouns	2765	CHERRY					834:0	strawberry	1	1	樱桃	cerise	вишня	Cereza	1.454545455	2.9	0.8	1.3	1.646678322
497	chest	chest	nouns	1592	CHEST					499:1	body	1	1	胸部	poitrine	грудь	pecho	2	2.5	1.4	1.1	1.672785548
498	chicken	chicken	nouns	1318	CHICKEN					39:1 305:0 689:0	dinner steak rice	3	3	鸡	poulet	курятина	pollo	0.2727272727272727 0.18181818181818182 0.0	1.7 2.4 1.4	0.6 1.1 0.6	1.6 2.3 0.5	0.7948135198135199 1.0323426573426573 0.5026223776223776
499	chief	chief	nouns	301	CHIEFTAIN					923:0	mayor	1	1	首领	chef	глава	jefe	3.363636364	3.1	3	1.5	2.345920746
500	child	child	nouns	2099	CHILD					145:1 1042:0	girl adult	2	4	小孩	enfant	ребенок	niño	2.909090909090909 0.5454545454545454	3.2 2.4	1.6 0.8	3.2 0.5	2.2091491841491844 0.8062937062937063
501	child	child	nouns	2099	CHILD					395:0 744:1	boy man	2	4	儿童	enfant	ребенок	niño	3.090909090909091 2.3636363636363638	4.2 2.5	2.4 0.7	4.2 0.8	2.6599067599067605 1.1029720279720279
508	choke	choke	verbs			Russian term is "ersticken". 	unmapped. CHOKE is active (tr)			1335:1	breathe	1	2	呛	étouffer	задыхаться	ahogarse	0.6363636364	2	0.5	0.5	0.646969697
509	choke (somebody)	choke	verbs	129	CHOKE	Russian term is more like "würgen". Spanish Spanish is still intransitive. and therefore wrong				1413:1	kill	1	2	掐死	étouffer	душить	!ahogarse	4.454545455	3.6	2.3	1	2.140151515
510	choose	choose	verbs	1750	CHOOSE					1383:1 1423:0 1709:1	want elect decide	3	3	选择	choisir	выбирать	escoger	0.7272727272727273 2.727272727272727 3.8181818181818183	3.0 4.8 5.1	0.7 3.9 1.7	1.4 5.7 4.0	1.0937062937062936 3.450874125874126 3.3416083916083923
513	church	church	nouns	1349	CHURCH					96:0 932:0	choir cathedral	2	2	教堂	église	церковь	Iglesia	0.18181818181818182 5.545454545454546	2.7 4.7	1.3 3.8	1.2 4.4	1.1002331002331003 4.3084498834498826
515	cigarette	cigarette	nouns	969	CIGARETTE					575:1	tobacco	1	1	香烟	cigarette	сигарета	cigarrillo	4.818181818	4.5	1.8	3.6	3.375699301
523	city	city	nouns	2547	CITY					865:1	town	1	1	城市	municipalité	город	ciudad	3.818181818	5.3	3.4	2.9	3.486305361
530	clean	clean	adjectives	704	CLEAN					1056:1 1182:0 1296:0	messy spotless neat	3	3	清洁	propre	чистый	limpiar	0.09090909090909091 4.909090909090909 3.0	1.5 5.4 5.8	0.0 3.4 3.6	0.9 1.4 1.3	0.41247086247086256 4.432808857808857 3.639277389277389
533	clever	clever	adjectives	1310	CLEVER	listo is a good translation for "clever". A fox is also "listo".			“listo” is more “fast, quick, able”, the direct translation would be “intelligent”	1155:1	dumb	1	2	机灵	intelligent	умный	listo	0.1818181818	1.5	0.1	0.2	0.3836829837
534	clever	clever	adjectives	1310	CLEVER					1245:1	sly	1	2	机灵	intelligent	умный	inteligente	2	1.9	1.5	4.6	2.713286713
535	cliff	cliff	nouns	992	CLIFF					365:1	hill	1	2	悬崖	falaise	утес	acantilado	0.4545454545	2.9	2.4	1.6	1.781876457
536	cliff	cliff	nouns	992	CLIFF					760:0	tail	1	2	悬崖	falaise	край	acantilado	0	0.1	3.5	0	0.3075757576
537	climb	climb	verbs	1102	CLIMB					1511:0	hike	1	1	爬	grimper	лазить	escalar	0.5454545455	2.6	0.7	1.1	1.461072261
540	cloth	cloth	nouns	1616	CLOTH					629:1	clothes	1	1	布料	chiffon	ткань	paño	1.454545455	2.3	1.4	1.7	1.973951049
542	clothes	clothes	nouns	1895	CLOTHES					97:0 141:0	drawer button	2	7	衣服	habit	одежда	ropa	0.09090909090909091 0.45454545454545453	1.4 2.2	0.7 1.3	1.3 1.4	0.6794289044289045 0.9740093240093239
543	clothes	clothes	nouns	1895	CLOTHES					209:0 236:0 298:0 373:0 629:0	fabric closet coat jacket cloth	5	7	衣服	vêtement	одежда	ropa	2.3636363636363638 0.5454545454545454 4.181818181818182 3.272727272727273 1.4545454545454546	3.2 2.7 3.5 3.4 2.3	1.6 0.7 1.6 1.7 1.4	2.4 1.6 1.4 1.5 1.7	2.1736596736596736 0.8815850815850816 2.3236596736596735 2.2933566433566432 1.9739510489510492
544	cloud	cloud	nouns	1489	CLOUD		Russian here: storm cloud			860:0	storm	1	7	云	nuage	туча	nube	0.8181818182	2.1	1.2	1.1	1.149417249
545	cloud	cloud	nouns	1489	CLOUD					292:1 443:0 526:0 619:0 756:0 971:0	lake window mist fog weather haze	6	7	云	nuage	облако	nube	0.09090909090909091 0.0 2.909090909090909 2.5454545454545454 2.1818181818181817 2.0	0.8 0.8 3.4 3.2 2.5 4.0	0.3 0.4 1.2 1.7 0.8 2.3	0.3 0.7 2.9 2.3 0.7 0.9	0.34621212121212125 0.2333333333333333 2.4860722610722608 2.390967365967366 1.2303613053613052 2.196736596736596
1803	overcast	overcast	nouns				unmapped because noun	灰濛蒙 is adj.		792:0	forecast	1	1	!灰濛蒙	révision	облачность	nublado	0.09090909091	1	1.2	1.3	0.6317016317
546	club	club	nouns	1763	CLUB					388:0 892:0	society mark	2	2	俱乐部	club	клуб	club	0.0 0.0	3.9 0.5	1.8 0.0	2.9 0.9	2.4236013986013987 0.19090909090909092
549	coal	coal	nouns	2658	COAL					498:1	charcoal	1	1	煤	charbon	уголь	carbón	2.090909091	4.6	0.7	2.3	2.887237762
551	coast	coast	nouns	1525	COAST					878:1	shore	1	3	海岸	côte	побережье	costa	2.818181818	4.9	3.6	4.7	3.846270396
552	coast	coast	nouns	1525	COAST					275:1 317:1	beach gunboat	2	3	海岸	côte	берег	costa	3.0 0.09090909090909091	3.8 0.4	2.5 0.2	3.5 0.7	3.2923724423724425 0.33822843822843823
553	coat (top)	coat	nouns					上衣 is top, coat is 外套		298:1 1017:1	clothes hat	2	2	上衣	manteau	пальто	capa	4.181818181818182 1.2727272727272727	3.5 2.4	1.6 0.7	1.4 0.8	2.3236596736596735 0.9370046620046617
557	coffee	coffee	nouns	1299	COFFEE					519:1	bean	1	1	咖啡	café	кофе	café	0.3636363636	0.7	0.8	0.2	0.7501165501
558	coin	coin	nouns	1867	COIN					445:0	payment	1	1	硬币	pièce de monnaie	монета	moneda	1.090909091	3.2	1.2	2.1	1.397261072
559	cold	cold	adjectives	1287	COLD					1089:1	ordinary	1	1	冷	froid	холодный	frío	0	0.4	0	0.1	0.1083333333
573	come	come	verbs	1446	COME					1435:0	attend	1	4	来	venir	приходить	ven	3.181818182	3.4	2.3	2	2.804487179
574	come	come	verbs	1446	COME					1351:1 1632:1 1696:0	go arrive bring	3	4	来	venir	приходить	venir	0.45454545454545453 2.8181818181818183 1.7272727272727273	4.1 5.0 0.9	1.2 3.1 0.6	1.3 1.9 0.6	1.1285547785547785 3.407459207459208 0.9889860139860138
583	company (group of people)	company	nouns				unmapped because refers to a group of people, not a relationship between them			1027:1	business	1	1	公司	entreprise	компания	empresa	2	3.8	3.7	4.3	3.667307692
584	compare	compare	verbs	3429	COMPARE					1560:0	analyze	1	1	比较	comparer	сравнивать	comparar	2.727272727	3.5	3.2	2.7	2.669114219
585	compass	compass	nouns	2606	COMPASS					916:0	elephant	1	1	罗盘	boussole	компас	Brújula	0.09090909091	0	0	0.1	0.1234848485
589	complain	complain	verbs	3642	COMPLAIN					1431:1	bring	1	2	抱怨	se plaindre	жаловаться	quejar	0.1818181818	0.2	0.2	0	0.06515151515
590	complain	complain	verbs	3642	COMPLAIN					1434:0	argue	1	2	抱怨	se plaindre	жаловаться	quejarse	2.090909091	2.1	0.7	2.7	1.447086247
596	computer	computer	nouns	3086	COMPUTER					7:1	disc	1	2	电脑	ordinateur	компьютер	ordenador	0.5454545455	2.3	1.4	1.3	1.009207459
597	computer	computer	nouns	3086	COMPUTER					294:0	machine	1	2	电脑	ordinateur	компьютер	computadora	2.727272727	4.6	1.3	3.8	2.798135198
601	condemn	condemn	verbs	484	CONDEMN					1393:1	reject	1	1	谴责	condamner	осуждать	condenar	0.1818181818	3.7	0.5	2.2	1.38041958
624	conversation	conversation	nouns	2933	CONVERSATION					653:1	communication	1	1	交谈	conversation	беседа	conversacion	4.818181818	4.4	4.9	3.2	3.719463869
628	cook	cook	verbs	1100	COOK (SOMETHING)					1333:0 1439:0 1676:0	lose fry mix	3	3	煮	cuisiner	готовить	cocinar	0.0 0.45454545454545453 0.2727272727272727	0.1 3.4 2.3	0.0 1.3 0.3	0.1 2.8 1.0	0.02424242424242425 2.306701631701632 0.7376456876456876
307	boiled (water)	boiled	adjectives	3362	BOILED WATER		unmapped; COOKED is too broad. here refers to water			1103:1	cooked	1	1	水煮	bouilli	кипячёный	hervido	2.545454545	3.9	2.6	4.6	2.875932401
629	cooked	cooked	adjectives	269	COOKED					1103:0	boiled	1	1	煮熟的	cuit	варёный	cocido	2.545454545	3.9	2.6	4.6	2.875932401
635	corner	corner	nouns	192	CORNER					615:1	area	1	1	角	coin	угол	esquina	0.4545454545	1.1	0	0.6	0.6300699301
643	cotton	cotton	nouns	1850	COTTON					544:1 982:0	polyester sweater	2	2	棉	coton	хлопок	algodón	1.0 0.7272727272727273	2.5 1.8	0.3 0.8	1.4 0.7	1.0417249417249417 0.8067016317016317
647	court	court	nouns	1068	COURT					413:1	judge	1	1	法庭	tribunal	суд	Corte	0.8181818182	3.3	1.6	0.9	1.485606061
648	cousin	cousin	nouns	1643	COUSIN					448:0	uncle	1	1	表哥	cousin	кузен	prima	0.3636363636	2.9	1.5	0.6	1.343065268
649	cover	cover	verbs	761	COVER					1756:1	disguise	1	3	伪装	couvrir	покрывать	cubrir	4	3.1	3	1.3	2.618531469
650	cover	cover	verbs	761	COVER					1462:0 1706:0	bury protect	2	3	掩盖	couvrir	покрывать	cubrir	2.4545454545454546 1.1818181818181819	3.3 4.9	1.0 3.2	3.4 3.8	2.3340909090909085 2.098193473193473
653	cow	cow	nouns	1007	COW			牛 is a general term, 母牛 is cow		120:0 549:0	goat cattle	2	2	牛	vache	корова	vaca	0.45454545454545453 3.5454545454545454	2.6 4.1	0.5 2.5	1.3 2.6	1.2561188811188806 3.4972610722610717
655	cradle	cradle	nouns	2946	CRADLE					182:1	crib	1	1	摇床	berceau	колыбель	cuna	3	5.8	4.1	2.1	3.519230769
667	cricket	cricket	nouns	2354	CRICKET					484:0	supporter	1	1	蟋蟀	criquet	крикет	Grillo	0	0.7	0	0	0.1575757576
668	crime	crime	nouns	1066	CRIME					391:0	attack	1	4	犯罪	criminalité	преступление	delito	0.9090909091	2.4	0.5	1.7	1.542540793
669	crime	crime	nouns	1066	CRIME					414:0	violation	1	4	犯罪	infraction	преступление	crimen	3.454545455	5.3	4	3.2	3.122785548
670	crime	crime	nouns	1066	CRIME					487:0	fraud	1	4	犯罪	infraction	преступление	delito	2.818181818	4.5	1.9	3	3.038519814
671	crime	crime	nouns	1066	CRIME					1026:0	theft	1	4	犯罪	criminalité	преступлениe	crimen	3.454545455	2.8	2.2	3.1	3.094988345
678	crocodile	crocodile	nouns	1857	CROCODILE					15:1	lizard	1	1	鳄鱼	crocodile	крокодил	cocodrilo	0.4545454545	3.4	0.8	2.6	2.046212121
679	crooked	crooked	adjectives	297	CROOKED					1198:1	curved	1	1	扭曲	courbé	кривой	torcido	3.454545455	6	5	3.5	3.884090909
680	cross	cross	nouns	1367	CROSS				“cruzar” is the verb TO CROSS; the noun is “cruz”	89:1	monk	1	1	十字架	croix	крест	!cruzar	0.1818181818	1.9	1.5	0.1	0.6495337995
681	crowd	crowd	nouns	2023	CROWD					27:1 755:0 1020:0	mob bunch parade	3	3	人群	foule	толпа	multitud	0.9090909090909091 0.0 0.2727272727272727	5.7 4.5 2.8	4.0 3.0 1.6	3.2 0.8 2.1	3.8751748251748257 1.8865384615384617 1.5841491841491842
682	crown	crown	nouns	1943	CROWN (OF HEAD)					718:0	key	1	1	王冠	couronne	корона	corona	0	0.1	0	0.2	0.1159090909
685	cruel	cruel	adjectives	500	CRUEL					1083:0	unfair	1	3	残忍	cruel	жестокий	cruel	0.4545454545	4.2	1.8	1.9	1.796678322
686	cruel	cruel	adjectives	500	CRUEL					1228:1 1269:1	nice harsh	2	3	残酷	cruel	жестокий	cruel	0.0 4.2727272727272725	1.1 3.9	0.0 2.0	0.1 3.3	0.19166666666666668 2.8562937062937053
688	cry	cry	verbs	1839	CRY					1659:1 1729:0 1737:1	laugh sob weep	3	3	哭	crier	плакать	llorar	0.36363636363636365 5.818181818181818 5.909090909090909	1.9 2.3 2.7	0.0 4.5 4.3	0.2 4.1 4.8	0.4442890442890443 4.03962703962704 4.351456876456876
2690	weep	weep	verbs	1839	CRY	I mapped it back: we have synonyms now.	unmapped; CRY is already in the list			1737:0	cry	1	1	哭泣	pleurer	рыдать	lloriquear	5.909090909	2.7	4.3	4.8	4.351456876
694	cup	cup	nouns	476	CUP					797:0	cone	1	3	杯子	tasse	стакан	vaso	0.8181818182	0.6	0.5	1.3	0.6001165501
695	cup	cup	nouns	476	CUP					108:1 378:0	spoon jar	2	3	杯子	tasse	чашка	vaso	0.09090909090909091 2.0	1.9 2.8	0.8 1.2	1.2 2.4	0.9736013986013986 1.8061771561771556
700	curtain	curtain	nouns	2621	CURTAIN					1037:1	rod	1	1	窗帘	rideau	занавеска	cortina	0.2727272727	2.4	0.8	0.4	0.5210955711
702	curved	curved	adjectives	1698	CURVED					1133:1 1141:1 1198:0	straight aggressive crooked	3	3	弯曲	incurvé	изогнутый	curvo	0.18181818181818182 0.18181818181818182 3.4545454545454546	1.6 0.0 6.0	0.1 0.0 5.0	0.3 0.0 3.5	0.4173659673659675 0.0734848484848485 3.8840909090909093
2540	tradition	tradition	nouns	1747	CUSTOM					555:0	handicraft	1	1	传统	tradition	традиция	tradición	2.181818182	3.2	0.7	1.5	0.9529137529
708	dance	dance	nouns	3472	DANCE (MOVEMENT)					888:1	dress	1	1	舞蹈	danse	танец	danza	0.1818181818	0.9	0.7	0.3	0.3484848485
709	danger	danger	nouns	1810	DANGER					506:0 884:0	threat disease	2	2	危险	danger	опасность	peligro	3.727272727272727 0.45454545454545453	5.6 1.4	4.9 0.6	4.2 0.8	4.447435897435898 0.6407925407925408
713	daughter	daughter	nouns	1357	DAUGHTER					161:1 742:1 890:0	baby father kid	3	3	女儿	fille	дочь	hija	2.727272727272727 0.18181818181818182 2.909090909090909	2.6 2.2 2.1	1.4 0.9 1.3	2.9 0.5 0.4	2.040209790209791 0.7976689976689978 1.8098484848484853
714	dawn	dawn	nouns	729	DAWN					98:1 666:1 698:1	day gun night	3	3	黎明	aube	рассвет	amanecer	2.6363636363636362 0.0 0.09090909090909091	4.1 0.1 2.5	1.0 0.0 0.7	2.6 0.0 0.4	2.107459207459207 0.016666666666666666 0.7775058275058274
715	day	day	nouns	1225	DAY (NOT NIGHT)					65:0	morning	1	3	白天	journée	день	día	5.545454545	3.2	1.3	3.6	2.560606061
716	day	day	nouns	1225	DAY (NOT NIGHT)					98:0 130:1	dawn night	2	3	白天	jour	день	día	2.6363636363636362 0.0	4.1 2.4	1.0 0.2	2.6 1.0	2.107459207459207 0.6817016317016318
719	death	death	nouns	910	DEATH					426:0 439:0 497:0	catastrophe tragedy burial	3	3	死亡	mort	смерть	muerte	2.272727272727273 2.272727272727273 0.45454545454545453	2.7 3.3 3.4	1.3 1.9 1.4	1.3 2.4 1.5	1.6379953379953376 1.9910839160839158 1.7802447552447547
723	deceive	deceive	verbs	3230	DECEIVE					1482:0	cheat	1	1	欺骗	tromper	обманывать	engañar	2.727272727	3.8	4.3	4	3.721853147
724	decide	decide	verbs	685	DECIDE					1309:1 1313:1 1509:1 1584:1 1709:0	portray conclude think judge choose	5	5	决定	décider	решать	decidir	0.0 3.4545454545454546 0.45454545454545453 3.0 3.8181818181818183	1.5 4.3 2.7 4.2 5.1	1.0 1.1 1.8 1.3 1.7	0.6 2.6 1.6 2.8 4.0	0.375 2.272435897435897 1.660780885780886 2.557051282051282 3.3416083916083923
734	decrease	decrease	verbs	2864	DECREASE					1418:0	descend	1	1	减少	diminuer	уменьшаться	disminución	0.1818181818	4.2	0.4	2.6	1.16451049
737	defend	defend	verbs	1330	DEFEND					1451:1	protect	1	2	防御	défendre	отстаивать	defender	4	5.5	4.1	5	4.437878788
738	defend	defend	verbs	1330	DEFEND					1618:1	kill	1	2	防守	défendre	защищать	defender	0.3636363636	1.3	0	0.4	0.4309440559
1138	god	god	nouns	3231	DEITY					473:0	prey	1	5	神	dieu	бог	Dios	0	0.1	0.3	0	0.05833333333
1139	god	god	nouns	3231	DEITY					56:0 237:1 652:0 671:0	priest father spirit devil	4	5	天神	dieu	бог	Dios	0.2727272727272727 0.09090909090909091 0.0 0.09090909090909091	2.1 2.7 3.0 2.5	1.1 1.3 2.1 0.4	1.6 1.8 1.5 0.6	0.9661421911421911 1.2137529137529137 1.550641025641026 0.78502331002331
1899	please	please	verbs	1271	DELIGHT					1535:1	satisfy	1	4	使满意	faire plaisir	угождать	complacer	4.454545455	4.8	2.5	5	3.645337995
1900	please	please	verbs	1271	DELIGHT	flagged Chinese word as wrong		this is not delight, this is like German word "bitte"		1598:0	plead	1	4	!请	satisfaire	угождать	complacer	2.272727273	0.3	1	0.7	0.5868881119
1901	please	please	verbs	1271	DELIGHT					1493:1 1588:0	agree entertain	2	4	使满意	satisfaire	угождать	complacer	2.0 0.7272727272727273	2.3 1.3	1.3 0.6	1.1 1.6	1.1948135198135195 1.3156177156177158
751	demon	demon	nouns	1973	DEMON		Russian: demon (lower rank)			106:1 179:0	monster angel	2	2	恶魔	démon	демон	demonio	2.727272727272727 0.2727272727272727	4.7 2.1	4.5 0.2	3.3 1.0	3.618589743589744 0.6813519813519814
781	devil	devil	nouns				Unmapped. Russian: devil (the highest rank of evil)			671:1	god	1	1	魔鬼	diable	дьявол	diablo	0.09090909091	2.5	0.4	0.6	0.78502331
753	dense (of person)	dense	adjectives			stupid term	unmapped. Here: stupid			1177:1	dumb	1	2	愚笨	dense	глупый	denso	5.545454545	0.1	3.7	0.4	2.171620047
754	dense	dense	adjectives	2239	DENSE					1252:1	hard	1	2	密度大	dense	плотный	denso	2.545454545	1.9	2.9	2	1.641083916
756	deny	deny	verbs	755	DENY					1311:1	accept	1	5	拒绝	nier	отвергать	negar	0	1.7	0.1	0.1	0.3647435897
757	deny	deny	verbs	755	DENY					1407:1	give	1	5	拒绝	nier	отказывать	negar	0	0.4	0.1	0.1	0.09166666667
758	deny	deny	verbs	755	DENY					1604:1	avoid	1	5	拒绝	nier	отрицать	negar	0.5454545455	1.1	0.2	1	1.0002331
759	deny	deny	verbs	755	DENY					1474:0 1655:0	lie admit	2	5	否认	nier	отрицать	negar	0.6363636363636364 0.36363636363636365	2.5 1.6	1.1 0.1	1.2 0.2	0.9787296037296033 0.3942890442890443
761	depend	depend	verbs	756	DEPEND					1304:0	rely	1	1	依赖	dépendre	зависеть	depender	4.090909091	3.9	1.5	2.1	3.006759907
763	depth	depth	nouns	2534	DEPTH					367:0	magnitude	1	1	深度	profondeur	глубина	profundidad	0.8181818182	1.8	1.2	1.1	1.43513986
767	desert	desert	nouns	3687	DESERT					354:0	dune	1	1	沙漠	désert	пустыня	Desierto	2.818181818	3.3	2.1	2.5	1.891433566
771	despise	despise	verbs	2715	DESPISE					1508:1 1567:0	hate charge	2	2	蔑视	mépriser	презирать	despreciar	3.0 0.0	4.8 1.6	3.1 0.3	4.4 0.6	3.5286713286713294 0.3416666666666666
750	demolish	demolish	verbs	681	DESTROY					1387:0	smash	1	1	拆除	démolir	сносить	demoler	0.6363636364	5.1	2.4	2.3	3.054020979
772	destroy	destroy	verbs	681	DESTROY					1477:1	kill	1	6	毁灭	détruire	уничтожать	destruir	3.272727273	3.2	4.5	1.7	2.644172494
773	destroy	destroy	verbs	681	DESTROY					1331:1 1499:0	decompose save	2	6	毁灭	détruire	уничтожить	destruir	2.6363636363636362 0.18181818181818182	3.9 1.2	0.6 0.0	3.2 0.1	1.8928321678321682 0.24772727272727277
774	destroy	destroy	verbs	681	DESTROY					1315:0 1498:0 1684:1	make construct create	3	6	毁灭	détruire	разрушать	destruir	0.18181818181818182 0.36363636363636365 0.36363636363636365	1.4 1.9 1.5	0.1 0.0 0.1	0.2 0.2 0.1	0.38595571095571096 0.3912587412587412 0.36928904428904424
786	die	die	verbs	1494	DIE					1334:1 1396:0	bury disintegrate	2	2	死	mourir	умереть	morir	2.090909090909091 0.2727272727272727	2.2 3.4	0.8 0.7	1.0 0.7	1.2800116550116551 0.8233682983682984
791	different	different	adjectives	2504	DIFFERENT					1256:0	normal	1	1	不同	différent	необычный	diferente	0	1.8	0.1	0.2	0.4409090909
794	difficult	difficult	adjectives	584	DIFFICULT					1062:1	hard	1	3	困难	ardu	трудный	difícil	4.454545455	6	4.3	2.8	3.987179487
795	difficult	difficult	adjectives	584	DIFFICULT					1097:1	easy	1	3	困难	difficile	трудный	difícil	0.1818181818	1.7	0.2	0.2	0.3851981352
796	difficult	difficult	adjectives	584	DIFFICULT					1110:0	simple	1	3	困难	difficile	тяжелый	difícil	0.1818181818	1.8	0	0.2	0.4692890443
800	dinner	dinner	nouns	1833	DINNER (SUPPER)					251:1	meal	1	4	晚饭	dîner	ужин	cena	2.909090909	4.2	3	3.6	3.520104895
801	dinner	dinner	nouns	1833	DINNER (SUPPER)					39:0 149:0 243:0	chicken soup breakfast	3	4	晚餐	dîner	ужин	cena	0.2727272727272727 0.45454545454545453 0.8181818181818182	1.7 3.2 3.4	0.6 1.0 0.5	1.6 2.1 1.4	0.7948135198135199 1.442773892773893 1.404195804195804
2429	supper	supper	nouns	1833	DINNER (SUPPER)					746:0	meal	1	2	晚餐	dîner	ужин	cena	3.363636364	4.9	3.2	3.7	3.673368298
2430	supper	supper	nouns	1833	DINNER (SUPPER)					874:1	breakfast	1	2	晚餐	souper	ужин	cena	0.7272727273	2.8	0.7	0.7	1.176748252
807	dirt	dirt	nouns	25	DIRT			泥土 is soil/mud, it's not necessary unclean. 污垢 maybe a better fit		861:1	mud	1	1	!泥土	saleté	грязь	suciedad	5.090909091	3.4	4.8	2.3	3.475874126
