NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	OCCURRENCES	TOTAL	MANDARIN	FRENCH	RUSSIAN	SPANISH	MANDARIN_SCORE	FRENCH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	ENGLISH_SCORE
554	cockpit	nouns			581:1	copilot	1	1	座舱	cockpit	кокпит	cabina	0.6363636363636364	1.8	0.4	0.7	0.6533216783216783
555	cocktail	nouns			309:1	alcohol	1	1	鸡尾酒	cocktail	коктейль	cóctel	3.4545454545454546	3.7	1.7	2.4	2.3417249417249413
556	code	nouns			961:0	symbol	1	1	代码	code	код	código	2.909090909090909	3.4	1.1	2.3	2.098951048951049
557	coffee	nouns	1299	COFFEE	519:1	bean	1	1	咖啡	café	кофе	café	0.36363636363636365	0.7	0.8	0.2	0.7501165501165502
558	coin	nouns	1867	COIN	445:0	payment	1	1	硬币	pièce de monnaie	монета	moneda	1.0909090909090908	3.2	1.2	2.1	1.397261072261072
559	cold	adjectives	1287	COLD	1089:1	ordinary	1	1	冷	froid	холодный	frío	0.0	0.4	0.0	0.1	0.10833333333333334
560	collect	verbs			1314:0	organize	1	4	收集	collecter	собирать	recoger	1.0909090909090908	1.7	2.3	1.5	1.446969696969697
561	collect	verbs			1352:0	save	1	4	收藏	collecter	коллекционировать	recoger	4.545454545454546	3.2	2.2	0.7	2.6071095571095575
562	collect	verbs			1457:1	gather	1	4	收集	réunir	собирать	recoger	2.727272727272727	5.9	0.8	3.1	3.2644522144522146
563	collect	verbs			1694:1	shake	1	4	收集	recueillir	собирать	recoger	0.09090909090909091	0.3	0.0	0.4	0.11590909090909092
564	college	nouns			543:0	class	1	2	大学	lycée	колледж	Universidad	0.18181818181818182	2.9	0.9	1.5	1.149009324009324
565	college	nouns			584:0	profession	1	2	学院	lycée	колледж	Universidad	0.09090909090909091	1.2	0.7	1.0	0.5638694638694639
566	colonel	nouns			996:1	dentist	1	1	上校	colonel	полковник	coronel	0.18181818181818182	0.5	0.0	0.3	0.22913752913752916
567	colt	nouns			642:1	horse	1	1	小马	poulain	жеребенок	potro	3.4545454545454546	4.3	2.5	2.9	3.275116550116549
568	combat	nouns			32:0	belligerence	1	1	战斗	combat	бой	combate	3.0	4.6	2.0	3.4	2.5716200466200467
569	combination	nouns			329:0	union	1	1	组合	combinaison	комбинация	combinación	2.5454545454545454	4.4	2.6	4.2	2.8104895104895107
570	combine	nouns			720:0	sugarcane	1	1	联合	moissonneuse-batteuse	комбайн	segadora	0.0	0.6	0.2	0.4	0.2416666666666667
571	combine	verbs			1527:1	blend	1	1	联合	combiner	комбинировать	combinar	1.6363636363636365	5.1	3.7	4.3	3.5392773892773897
572	combined	adjectives			1151:1	mixed	1	1	联合	combiné	комбинированный	conjunto	0.09090909090909091	5.0	4.2	2.2	2.7247668997669003
573	come	verbs	1446	COME	1435:0	attend	1	4	来	venir	приходить	ven	3.1818181818181817	3.4	2.3	2.0	2.804487179487179
574	come	verbs	1446	COME	1351:1 1632:1 1696:0	go arrive bring	3	4	来	venir	приходить	venir	0.45454545454545453 2.8181818181818183 1.7272727272727273	4.1 5.0 0.9	1.2 3.1 0.6	1.3 1.9 0.6	1.1285547785547785 3.407459207459208 0.9889860139860138
575	comfort	nouns			738:0	safety	1	1	安慰	confort	комфорт	comodidad	0.09090909090909091	3.5	0.6	1.9	1.1755244755244758
576	comfort	verbs			1475:1	humiliate	1	1	安慰	conforter	утешать	comodidad	0.18181818181818182	0.9	0.1	0.0	0.16322843822843827
577	comfortably	adverbs			1816:0	easily	1	1	舒服地	confortablement	удобно	cómodamente	1.5454545454545454	1.7	1.7	3.3	1.9962121212121213
578	communicate	verbs			1718:0	pray	1	1	沟通	communiquer	общаться	comunicar	0.6363636363636364	1.0	0.3	0.6	0.6084498834498835
579	communication	nouns			247:0	television	1	3	交流	communication	коммуникация	comunicación	0.0	2.6	2.1	1.6	1.3062937062937063
580	communication	nouns			653:0 656:0	conversation language	2	3	交流	communication	общение	comunicación	4.818181818181818 0.6363636363636364	4.4 3.7	4.9 1.2	3.2 1.9	3.719463869463869 1.9564102564102563
581	companion	nouns	1325	FRIEND	332:1	buddy	1	2	伴侣	compagnon	спутник	acompañante	2.727272727272727	5.3	1.9	4.3	3.758449883449883
582	companion	nouns	1325	FRIEND	530:1	lover	1	2	伴侣	compagnon	спутник	compañero	5.181818181818182	4.3	1.4	1.6	2.940850815850815
583	company	nouns	2983	COMPANIONSHIP	1027:1	business	1	1	公司	entreprise	компания	empresa	2.0	3.8	3.7	4.3	3.667307692307693
584	compare	verbs	3429	COMPARE	1560:0	analyze	1	1	比较	comparer	сравнивать	comparar	2.727272727272727	3.5	3.2	2.7	2.669114219114219
585	compass	nouns	2606	COMPASS	916:0	elephant	1	1	罗盘	boussole	компас	Brújula	0.09090909090909091	0.0	0.0	0.1	0.12348484848484852
586	compete	verbs			1432:0	finish	1	1	竞争	rivaliser	соревноваться	competir	0.0	0.2	0.0	0.2	0.2722027972027977
587	competence	nouns			84:1 500:0	capability ability	2	2	才能	compétence	компетенция	competencia	5.090909090909091 4.181818181818182	6.0 5.8	2.7 2.2	3.0 2.9	4.2183566433566435 3.942191142191143
588	compiler	nouns			183:1	subroutine	1	1	编译器	compilateur	компилятор	compilador	0.7272727272727273	2.0	2.0	0.8	0.9505244755244755
589	complain	verbs	3642	COMPLAIN	1431:1	bring	1	2	抱怨	se plaindre	жаловаться	quejar	0.18181818181818182	0.2	0.2	0.0	0.06515151515151517
590	complain	verbs	3642	COMPLAIN	1434:0	argue	1	2	抱怨	se plaindre	жаловаться	quejarse	2.090909090909091	2.1	0.7	2.7	1.4470862470862471
591	complete	adjectives			1203:1	finished	1	1	完结	achevé	совершенный	completar	4.909090909090909	6.0	3.2	3.0	3.9008158508158512
592	completely	adverbs			1811:1 1866:1	purely marginally	2	2	完全地	complètement	полностью	completamente	4.545454545454546 0.0	3.2 1.7	1.2 0.1	2.3 0.1	2.76958041958042 0.3973193473193473
593	composer	nouns			578:0	writer	1	1	作曲家	compositeur	композитор	compositor	2.5454545454545454	3.8	0.7	2.4	2.341258741258741
594	comprehend	verbs			1490:1	know	1	3	理解	inclure	понимать	comprender	3.8181818181818183	0.5	1.1	2.9	2.7969114219114224
595	comprehend	verbs			1467:0 1707:1	satisfy read	2	3	理解	saisir	понимать	comprender	0.45454545454545453 0.6363636363636364	0.7 1.1	0.4 0.9	0.7 1.5	0.32569930069930064 1.0034965034965035
596	computer	nouns	3086	COMPUTER	7:1	disc	1	2	电脑	ordinateur	компьютер	ordenador	0.5454545454545454	2.3	1.4	1.3	1.009207459207459
597	computer	nouns	3086	COMPUTER	294:0	machine	1	2	电脑	ordinateur	компьютер	computadora	2.727272727272727	4.6	1.3	3.8	2.798135198135198
598	concept	nouns			602:1	belief	1	1	概念	concept	представление	concepto	1.2727272727272727	2.9	1.3	2.1	1.9092657342657342
599	conclude	verbs			1313:0	decide	1	1	得出结论	conclure	завершать	concluir	3.4545454545454546	4.3	1.1	2.6	2.272435897435897
600	concurrency	nouns			889:1	currency	1	1	并发	concours	совпадение	concurrencia	0.09090909090909091	1.3	0.0	0.3	0.25565268065268065
601	condemn	verbs	484	CONDEMN	1393:1	reject	1	1	谴责	condamner	осуждать	condenar	0.18181818181818182	3.7	0.5	2.2	1.38041958041958
602	condition	nouns			788:1	pact	1	3	条件	condition	условие	condición	2.272727272727273	2.3	2.0	2.7	1.2342074592074594
603	condition	nouns			863:0 964:1	boy situation	2	3	状态	condition	состояние	condición	0.2727272727272727 3.8181818181818183	0.1 4.8	0.0 2.4	0.1 4.3	0.05530303030303033 2.953379953379953
604	cone	nouns			797:1	cup	1	1	锥形蛋筒	cône	рожок	cono	0.8181818181818182	0.6	0.5	1.3	0.6001165501165501
605	confession	nouns			143:1	denial	1	1	坦白	confession	признание	confesión	0.0	1.7	0.1	1.2	0.566083916083916
606	confidence	nouns			169:0 389:1	self attitude	2	2	自信	confiance	уверенность	confianza	0.5454545454545454 1.2727272727272727	1.8 2.3	2.4 1.6	1.2 1.9	1.008741258741259 1.4011655011655002
607	confident	adjectives			1107:0	sure	1	1	自信	confiant	самоуверенный	confidente	3.0	5.6	2.6	0.6	3.759498834498834
608	confidently	adverbs			1862:0	secretly	1	1	信心十足地	confidentiellement	уверенно	con confianza	0.0	5.8	0.0	1.1	0.8032051282051281
609	confuse	verbs			1736:1	learn	1	1	迷惑	confondre	спутывать	confundir	0.0	1.0	0.0	0.2	0.19999999999999998
610	confusion	nouns			1049:1	hysteria	1	1	混乱	désarroi	помрачение	Confusión	2.6363636363636362	2.3	1.9	1.7	1.7846153846153852
611	congress	nouns			121:1	parliament	1	1	国会	congrès	конгресс	congreso	2.727272727272727	4.1	1.9	3.6	3.0602564102564096
612	conquest	nouns			269:1	journey	1	3	征服	conquête	завование	conquista	0.45454545454545453	2.9	0.0	0.8	0.7825174825174822
613	conquest	nouns			523:1 694:1	hymn battle	2	3	征服	conquête	завоевание	conquista	0.0 0.5454545454545454	0.8 3.5	0.0 1.9	0.3 2.0	0.16666666666666666 1.8419580419580417
614	constitution	nouns			10:1 912:1	emperor senate	2	2	宪法	constitution	конституция	constitución	0.09090909090909091 0.7272727272727273	1.2 2.4	0.4 0.7	1.2 1.4	0.45903263403263406 0.9639277389277389
615	construct	verbs			1494:1 1498:1	make destroy	2	2	建造	construire	строить	construir	2.4545454545454546 0.36363636363636365	4.3 1.9	3.1 0.0	3.4 0.2	3.362121212121212 0.3912587412587412
616	construction	nouns			826:1	destruction	1	1	建造	construction	построение	construcción	0.2727272727272727	2.1	0.3	0.3	0.4916083916083917
617	container	nouns			131:0	mouse	1	3	容器	réceptacle	контейнер	envase	0.0	0.1	0.0	0.1	0.05833333333333333
618	container	nouns			315:1 663:1	bottle wagon	2	3	容器	récipient	контейнер	envase	2.909090909090909 0.18181818181818182	4.2 0.4	0.4 0.1	2.0 0.0	2.0484848484848484 0.48170163170163166
619	contemplate	verbs			1524:0	think	1	1	沉思	contempler	размышлять	contemplar	3.6363636363636362	1.9	4.8	2.5	3.9910256410256406
620	contemptuous	adjectives			1161:1	scornful	1	1	轻蔑	méprisant	пренебрежительный	desdeñoso	4.454545454545454	6.0	3.9	3.6	4.105536130536131
621	contribution	nouns			978:1	offering	1	1	贡献	donation	пожертвование	contribución	2.727272727272727	4.1	4.2	3.4	2.7522727272727274
622	control	verbs			1538:0	stop	1	1	控制	contrôler	контролировать	controlar	0.2727272727272727	2.6	0.5	1.0	0.7297202797202796
623	convention	nouns			454:1	rule	1	1	惯例	usage	конвенция	convención	2.5454545454545454	4.7	1.2	2.3	2.5103146853146847
624	conversation	nouns	2933	CONVERSATION	653:1	communication	1	1	交谈	conversation	беседа	conversacion	4.818181818181818	4.4	4.9	3.2	3.719463869463869
625	conversion	nouns			223:1	altitude	1	1	换算	conversion	преобразование	conversión	0.09090909090909091	0.4	0.0	0.7	0.2318181818181818
626	convince	verbs			1744:0 1752:1	argue try	2	2	说服	convaincre	убеждать	convencer	2.4545454545454546 0.6363636363636364	3.4 1.0	1.6 0.5	1.2 1.6	1.6012820512820511 0.6881701631701632
627	convocation	nouns			36:0	gathering	1	1	大型会议	convocation	собрание	convocatoria	2.727272727272727	3.3	4.4	4.8	3.8553613053613063
628	cook	verbs	1100	COOK (SOMETHING)	1333:0 1439:0 1676:0	lose fry mix	3	3	煮	cuisiner	готовить	cocinar	0.0 0.45454545454545453 0.2727272727272727	0.1 3.4 2.3	0.0 1.3 0.3	0.1 2.8 1.0	0.02424242424242425 2.306701631701632 0.7376456876456876
629	cooked	adjectives	269	COOKED	1103:0	boiled	1	1	煮熟的	cuit	варёный	cocido	2.5454545454545454	3.9	2.6	4.6	2.8759324009324008
630	cooperate	verbs			1661:0 1722:0	participate join	2	2	合作	coopérer	сотрудничать	cooperar	0.7272727272727273 0.6363636363636364	3.8 2.7	2.0 3.0	4.1 3.1	2.4383449883449884 1.7815268065268066
631	cop	nouns			634:0 949:0	sheriff copilot	2	2	警察	flic	полицейский	policía	3.8181818181818183 0.09090909090909091	4.0 0.8	4.4 0.0	3.7 0.3	3.83006993006993 0.32156177156177157
632	copilot	nouns			581:0 949:1	cockpit cop	2	2	副驾驶	copilote	штурман	copiloto	0.6363636363636364 0.09090909090909091	1.8 0.8	0.4 0.0	0.7 0.3	0.6533216783216783 0.32156177156177157
633	cord	nouns	1218	ROPE	327:1	wire	1	1	软线	corde	шнур	cuerda	1.1818181818181819	4.5	4.4	2.5	2.596620046620046
634	corn	nouns	506	MAIZE	660:0	maize	1	1	玉米	blé	кукуруза	maíz	5.909090909090909	3.0	3.5	3.4	3.4597319347319355
635	corner	nouns	192	CORNER	615:1	area	1	1	角	coin	угол	esquina	0.45454545454545453	1.1	0.0	0.6	0.6300699300699301
636	coronation	nouns			715:0	water	1	1	加冕礼	sacre	коронация	coronación	0.09090909090909091	0.5	0.0	0.0	0.07424242424242425
637	corporation	nouns			858:0	business	1	1	公司	société	корпорация	sociedad	4.636363636363637	2.7	3.8	2.2	2.7283799533799544
638	corridor	nouns			94:1	hallway	1	2	走廊	corridor	коридор	corredor	4.2727272727272725	5.4	3.9	5.3	4.681585081585081
639	corridor	nouns			782:1	door	1	2	走廊	couloir	коридор	pasillo	0.36363636363636365	2.0	0.7	0.6	0.7253496503496505
640	corruption	nouns			781:0	fraud	1	1	贪污	corruption	коррупция	corrupción	1.3636363636363635	4.3	2.8	3.9	2.6534965034965032
641	costume	nouns			811:1	ball	1	1	服装	costume	костюм	disfraz	0.09090909090909091	1.9	1.0	0.2	0.47348484848484845
642	cottage	nouns			576:0	cabin	1	1	茅屋	chalet	коттедж	cabaña	2.727272727272727	3.3	4.6	1.5	3.4653846153846146
643	cotton	nouns	1850	COTTON	544:1 982:0	polyester sweater	2	2	棉	coton	хлопок	algodón	1.0 0.7272727272727273	2.5 1.8	0.3 0.8	1.4 0.7	1.0417249417249417 0.8067016317016317
644	couch	nouns	3099	SOFA	165:1 795:0	bed baseball	2	2	沙发	canapé	кушетка	sofá	0.8181818181818182 0.0	3.4 0.1	4.1 0.0	2.1 0.2	2.0730186480186483 0.09999999999999999
645	couple	nouns			156:0	pair	1	1	情侣	couple	чета	Pareja	3.3636363636363638	5.8	5.2	4.6	4.873776223776223
646	course	nouns			23:1 88:0	action stomach	2	2	课程	cours	курс	curso	0.36363636363636365 0.0	2.6 0.2	0.7 0.2	1.3 0.1	1.0001165501165499 0.05833333333333334
647	court	nouns	1068	COURT	413:1	judge	1	1	法庭	tribunal	суд	Corte	0.8181818181818182	3.3	1.6	0.9	1.4856060606060604
648	cousin	nouns	1643	COUSIN	448:0	uncle	1	1	表哥	cousin	кузен	prima	0.36363636363636365	2.9	1.5	0.6	1.3430652680652682
649	cover	verbs	761	COVER	1756:1	disguise	1	3	伪装	couvrir	покрывать	cubrir	4.0	3.1	3.0	1.3	2.6185314685314687
650	cover	verbs	761	COVER	1462:0 1706:0	bury protect	2	3	掩盖	couvrir	покрывать	cubrir	2.4545454545454546 1.1818181818181819	3.3 4.9	1.0 3.2	3.4 3.8	2.3340909090909085 2.098193473193473
651	covered	adjectives			1227:0	clothed	1	2	覆盖着	couvert	покрытый	cubierto	2.3636363636363638	4.6	0.9	2.6	2.2707459207459197
652	covered	adjectives			1258:1	uncovered	1	2	覆盖着的	couvert	покрытый	cubierto	0.18181818181818182	1.7	0.1	0.2	0.37913752913752913
653	cow	nouns	1007	COW	120:0 549:0	goat cattle	2	2	牛	vache	корова	vaca	0.45454545454545453 3.5454545454545454	2.6 4.1	0.5 2.5	1.3 2.6	1.2561188811188806 3.4972610722610717
654	crack	verbs	3080	SPLIT OPEN	1601:0	break	1	1	裂开	fissurer	трескаться	agrietar	2.0	3.9	1.4	2.4	2.420512820512821
655	cradle	nouns	2946	CRADLE	182:1	crib	1	1	摇床	berceau	колыбель	cuna	3.0	5.8	4.1	2.1	3.5192307692307696
656	crash	verbs			1572:0	smash	1	2	撞	s'écraser	разбивать	chocarse con	1.3636363636363635	5.4	4.9	0.7	3.0032634032634022
657	crash	verbs			1648:1	bump	1	2	碰撞	s'écraser	разбивать	chocarse	3.272727272727273	3.6	0.6	2.4	2.4583916083916084
658	crazy	adjectives	1899	MAD	1067:1	insane	1	2	疯狂	fou	сумасшедший	loco	5.181818181818182	5.8	5.4	2.4	4.898659673659673
659	crazy	adjectives	1899	MAD	1173:1	sick	1	2	疯	fou	сумасшедший	loco	0.9090909090909091	4.9	1.5	1.4	1.342307692307692
660	create	verbs			1394:0 1529:0 1545:0 1684:0 1698:0 1760:0	dive imagine build destroy make draw	6	6	创建	créer	создавать	crear	0.0 0.7272727272727273 4.636363636363637 0.36363636363636365 0.8181818181818182 0.18181818181818182	0.2 4.2 5.0 1.5 5.2 2.9	0.0 0.5 3.3 0.1 4.2 0.9	0.0 1.3 4.0 0.1 3.6 1.5	0.06590909090909092 1.3161421911421916 3.8289044289044294 0.36928904428904424 3.715268065268065 1.1972610722610721
661	creative	adjectives			1077:0	innovative	1	1	有创造力	créatif	творческий	creativo	5.0	5.6	3.4	4.5	4.1736596736596745
662	creatively	adverbs			1793:1	originally	1	1	创造性地	créativement	творчески	creativamente	0.0	0.3	0.0	1.9	1.1093822843822845
663	creator	nouns			81:1 333:0	author maker	2	2	创造者	créateur	создатель	creador	4.0 3.4545454545454546	5.1 5.1	4.5 4.1	5.3 3.7	4.219055944055944 4.331993006993007
664	credit	nouns			810:0	borrower	1	1	信用	crédit	кредит	crédito	0.8181818181818182	2.0	1.9	2.4	1.2665501165501167
665	crib	nouns			182:0	cradle	1	2	幼儿床	couffin	кроватка	moisés	3.0	5.8	4.1	2.1	3.5192307692307696
666	crib	nouns			214:1	bed	1	2	幼儿床	berceau	кроватка	cuna	3.090909090909091	4.1	4.7	3.0	3.162121212121212
667	cricket	nouns	2354	CRICKET	484:0	supporter	1	1	蟋蟀	criquet	крикет	Grillo	0.0	0.7	0.0	0.0	0.15757575757575756
668	crime	nouns	1066	CRIME	391:0	attack	1	4	犯罪	criminalité	преступление	delito	0.9090909090909091	2.4	0.5	1.7	1.5425407925407926
669	crime	nouns	1066	CRIME	414:0	violation	1	4	犯罪	infraction	преступление	crimen	3.4545454545454546	5.3	4.0	3.2	3.1227855477855475
670	crime	nouns	1066	CRIME	487:0	fraud	1	4	犯罪	infraction	преступление	delito	2.8181818181818183	4.5	1.9	3.0	3.038519813519814
671	crime	nouns	1066	CRIME	1026:0	theft	1	4	犯罪	criminalité	преступлениe	crimen	3.4545454545454546	2.8	2.2	3.1	3.0949883449883444
672	criminal	nouns			554:0	offender	1	1	罪犯	criminel	преступник	criminal	4.818181818181818	5.0	4.8	4.5	4.653379953379955
673	critical	adjectives			1168:1	rude	1	1	批评	critique	критичный	crítico	0.6363636363636364	0.7	0.5	0.9	0.7265734265734265
674	critically	adverbs			1798:0	essentially	1	1	关键地	sévèrement	критично	críticamente	0.5454545454545454	0.3	0.5	0.9	0.740268065268065
675	criticism	nouns			739:1	argument	1	1	批评	critique	критика	crítica	1.0909090909090908	2.8	1.1	2.8	1.575058275058275
676	criticize	verbs			1301:0 1677:0	hate remark	2	2	批评	critiquer	критиковать	criticar	0.45454545454545453 1.6363636363636365	2.9 2.2	0.8 1.5	1.0 1.4	0.9743589743589743 1.6051864801864808
677	crochet	nouns			510:0	uniform	1	1	钩针编织	crochet	вязание	tejer	0.45454545454545453	0.1	0.4	0.3	0.16287878787878785
678	crocodile	nouns	1857	CROCODILE	15:1	lizard	1	1	鳄鱼	crocodile	крокодил	cocodrilo	0.45454545454545453	3.4	0.8	2.6	2.0462121212121214
679	crooked	adjectives	297	CROOKED	1198:1	curved	1	1	扭曲	courbé	кривой	torcido	3.4545454545454546	6.0	5.0	3.5	3.8840909090909093
680	cross	nouns	1367	CROSS	89:1	monk	1	1	十字架	croix	крест	cruzar	0.18181818181818182	1.9	1.5	0.1	0.6495337995337996
681	crowd	nouns	2023	CROWD	27:1 755:0 1020:0	mob bunch parade	3	3	人群	foule	толпа	multitud	0.9090909090909091 0.0 0.2727272727272727	5.7 4.5 2.8	4.0 3.0 1.6	3.2 0.8 2.1	3.8751748251748257 1.8865384615384617 1.5841491841491842
682	crown	nouns	1943	CROWN (OF HEAD)	718:0	key	1	1	王冠	couronne	корона	corona	0.0	0.1	0.0	0.2	0.11590909090909095
683	crucial	adjectives			1193:0	important	1	1	关键	crucial	решающий	crucial	4.7272727272727275	5.7	3.4	4.4	4.057167832167832
684	crude	adjectives			1095:0 1126:0	rude ugly	2	2	粗糙	brut	грубый	crudo	0.45454545454545453 0.45454545454545453	5.2 1.2	3.9 1.3	1.2 0.5	1.9262820512820518 1.207983682983683
685	cruel	adjectives	500	CRUEL	1083:0	unfair	1	3	残忍	cruel	жестокий	cruel	0.45454545454545453	4.2	1.8	1.9	1.7966783216783215
686	cruel	adjectives	500	CRUEL	1228:1 1269:1	nice harsh	2	3	残酷	cruel	жестокий	cruel	0.0 4.2727272727272725	1.1 3.9	0.0 2.0	0.1 3.3	0.19166666666666668 2.8562937062937053
687	crunch	verbs			1629:1	snap	1	1	捏碎	craquer	хрустеть	crujir	2.0	3.8	1.9	2.2	1.6256410256410259
688	cry	verbs	1839	CRY	1659:1 1729:0 1737:1	laugh sob weep	3	3	哭	crier	плакать	llorar	0.36363636363636365 5.818181818181818 5.909090909090909	1.9 2.3 2.7	0.0 4.5 4.3	0.2 4.1 4.8	0.4442890442890443 4.03962703962704 4.351456876456876
689	cryptogram	nouns			351:0	symbol	1	1	密码	cryptogramme	криптограмма	criptograma	0.09090909090909091	4.4	2.0	2.6	1.9229603729603724
690	crystal	nouns			489:1	glass	1	1	水晶	cristal	хрусталь	cristal	0.9090909090909091	3.5	2.6	1.5	2.0921328671328676
691	cube	nouns			53:1 930:0	dice toy	2	2	立方体	cube	куб	cubo	2.4545454545454546 0.18181818181818182	4.6 2.4	2.9 0.7	3.5 1.0	2.77132867132867 0.5969696969696969
692	cuddle	verbs			1390:0	hug	1	1	搂抱	câliner	прижиматься	abrazar	5.181818181818182	5.4	2.7	4.6	4.548834498834499
693	culture	nouns			981:1	society	1	1	文化	culture	культура	cultura	1.1818181818181819	3.2	0.8	1.9	1.759090909090909
694	cup	nouns	476	CUP	797:0	cone	1	3	杯子	tasse	стакан	vaso	0.8181818181818182	0.6	0.5	1.3	0.6001165501165501
695	cup	nouns	476	CUP	108:1 378:0	spoon jar	2	3	杯子	tasse	чашка	vaso	0.09090909090909091 2.0	1.9 2.8	0.8 1.2	1.2 2.4	0.9736013986013986 1.8061771561771556
696	currency	nouns			762:0	exchange	1	2	货币	devise	валюта	moneda	1.0	3.4	0.8	1.6	1.052505827505828
697	currency	nouns			889:0	concurrency	1	2	货币	cours	валюта	moneda	0.09090909090909091	1.3	0.0	0.3	0.25565268065268065
698	currently	adverbs			1819:1 1826:0	delicately recently	2	2	目前	actuellement	теперь	actualmente	0.0 3.1818181818181817	0.3 3.9	0.0 0.3	0.0 3.1	0.08863636363636367 2.171503496503496
699	cursor	nouns			969:0	chips	1	1	游标	curseur	курсор	cursor	0.09090909090909091	0.2	0.2	0.0	0.10681818181818183
700	curtain	nouns	2621	CURTAIN	1037:1	rod	1	1	窗帘	rideau	занавеска	cortina	0.2727272727272727	2.4	0.8	0.4	0.5210955710955711
701	curve	nouns			151:0	angle	1	1	弯曲	courbe	изгиб	curva	1.0	2.6	2.7	2.2	1.6648601398601397
702	curved	adjectives	1698	CURVED	1133:1 1141:1 1198:0	straight aggressive crooked	3	3	弯曲	incurvé	изогнутый	curvo	0.18181818181818182 0.18181818181818182 3.4545454545454546	1.6 0.0 6.0	0.1 0.0 5.0	0.3 0.0 3.5	0.4173659673659675 0.0734848484848485 3.8840909090909093
703	cyclone	nouns			312:1	typhoon	1	1	气旋	cyclone	циклон	ciclón	3.1818181818181817	5.0	3.5	4.6	4.060547785547786
704	cytoplasm	nouns			493:0	digit	1	1	细胞质	cytoplasme	цитоплазма	citoplasma	0.0	0.0	0.0	0.0	0.049999999999999996
705	dad	nouns	1217	FATHER	184:0	mother	1	1	爸爸	papa	отец	papá	0.5454545454545454	2.9	1.1	2.4	1.4893939393939395
706	daily	adverbs			1789:1	normally	1	1	日常	quotidiennement	ежедневно	diariamente	3.1818181818181817	2.2	1.7	3.4	2.5649184149184143
707	dairy	nouns			147:0	honey	1	1	乳制品	yaourt	молочные продукты	lácteos	0.36363636363636365	2.0	0.2	0.5	0.3953379953379954
708	dance	nouns	1879	DANCE	888:1	dress	1	1	舞蹈	danse	танец	danza	0.18181818181818182	0.9	0.7	0.3	0.34848484848484856
709	danger	nouns	1810	DANGER	506:0 884:0	threat disease	2	2	危险	danger	опасность	peligro	3.727272727272727 0.45454545454545453	5.6 1.4	4.9 0.6	4.2 0.8	4.447435897435898 0.6407925407925408
710	dangerously	adverbs			1790:0	carefully	1	1	危险地	dangereusement	опасно	peligrosamente	0.36363636363636365	0.8	0.2	0.3	0.27878787878787886
711	date	nouns			17:1	birthday	1	2	日期	anniversaire	дата	cita	1.4545454545454546	2.9	3.6	1.4	1.9296620046620048
712	date	nouns			977:0	calendar	1	2	日期	date	дата	fecha	2.727272727272727	3.0	1.7	1.5	2.146620046620047
713	daughter	nouns	1357	DAUGHTER	161:1 742:1 890:0	baby father kid	3	3	女儿	fille	дочь	hija	2.727272727272727 0.18181818181818182 2.909090909090909	2.6 2.2 2.1	1.4 0.9 1.3	2.9 0.5 0.4	2.040209790209791 0.7976689976689978 1.8098484848484853
714	dawn	nouns	729	DAWN	98:1 666:1 698:1	day gun night	3	3	黎明	aube	рассвет	amanecer	2.6363636363636362 0.0 0.09090909090909091	4.1 0.1 2.5	1.0 0.0 0.7	2.6 0.0 0.4	2.107459207459207 0.016666666666666666 0.7775058275058274
715	day	nouns	1225	DAY (NOT NIGHT)	65:0	morning	1	3	白天	journée	день	día	5.545454545454546	3.2	1.3	3.6	2.5606060606060606
716	day	nouns	1225	DAY (NOT NIGHT)	98:0 130:1	dawn night	2	3	白天	jour	день	día	2.6363636363636362 0.0	4.1 2.4	1.0 0.2	2.6 1.0	2.107459207459207 0.6817016317016318
717	deadly	adverbs			1796:0	happily	1	1	死气沉沉的	mortellement	смертельно	mortal	0.36363636363636365	0.6	0.2	0.1	0.14621212121212127
718	deal	verbs			1504:0	sell	1	1	交易	traiter	торговать	estar de acuerdo	2.8181818181818183	0.8	4.9	0.9	2.3843240093240103
719	death	nouns	910	DEATH	426:0 439:0 497:0	catastrophe tragedy burial	3	3	死亡	mort	смерть	muerte	2.272727272727273 2.272727272727273 0.45454545454545453	2.7 3.3 3.4	1.3 1.9 1.4	1.3 2.4 1.5	1.6379953379953376 1.9910839160839158 1.7802447552447547
720	debate	verbs			1586:0	argue	1	1	辩论	argumenter	обсуждать	debate	3.1818181818181817	5.0	2.3	3.5	3.071678321678321
721	decade	nouns			638:0	century	1	2	十年	décennie	десятилетие	década	0.18181818181818182	3.0	0.3	0.7	0.9970862470862469
722	decade	nouns			939:1	era	1	2	十	décennie	десятилетие	década	0.18181818181818182	3.1	1.1	2.6	1.660664335664336
723	deceive	verbs	3230	DECEIVE	1482:0	cheat	1	1	欺骗	tromper	обманывать	engañar	2.727272727272727	3.8	4.3	4.0	3.7218531468531464
724	decide	verbs	685	DECIDE	1309:1 1313:1 1509:1 1584:1 1709:0	portray conclude think judge choose	5	5	决定	décider	решать	decidir	0.0 3.4545454545454546 0.45454545454545453 3.0 3.8181818181818183	1.5 4.3 2.7 4.2 5.1	1.0 1.1 1.8 1.3 1.7	0.6 2.6 1.6 2.8 4.0	0.375 2.272435897435897 1.660780885780886 2.557051282051282 3.3416083916083923
