word	pos	wordnet_id	nltk_name	hypernyms	hyponyms	hypernym_names	hyponym_names	in_degree	out_degree
want	v	01188725-v	want.v.02	02604760-v	01188987-v	be.v.01	cry.v.05	1	1
conviction	n	01189282-n	conviction.n.02	01189001-n	01194125-n;01194021-n;01194225-n	final_judgment.n.01	rape_conviction.n.01;murder_conviction.n.01;robbery_conviction.n.01	1	3
fast	v	01189427-v	fast.v.02	01196037-v	01189224-v	abstain.v.02	diet.v.02	1	1
indulge	v	01191645-v	indulge.v.03	01157517-v	01191838-v	consume.v.05	surfeit.v.02	1	1
verdict	n	01192150-n	verdict.n.01	01191975-n	01192814-n;01193672-n;01192633-n;01193176-n;01193044-n;01193362-n	finding.n.02	directed_verdict.n.01;special_verdict.n.01;compromise_verdict.n.01;general_verdict.n.01;false_verdict.n.01;partial_verdict.n.01	1	6
gorge	v	01193099-v	gorge.v.01	01166351-v		eat.v.02		1	0
host	v	01194418-v	host.v.01	02492198-v	01186208-v;01194661-v;02592543-v;02592397-v	entertain.v.01	feast.v.02;wine_and_dine.v.02;do_the_honors.v.01;emcee.v.01	1	4
sample	v	01195299-v	sample.v.01	01156834-v	01195675-v	consume.v.02	degust.v.01	1	1
helpful	a	01195536-a	helpful.a.01					0	0
trial	n	01195867-n	trial.n.04	01184814-n	01199252-n;01196477-n;01196316-n;01196759-n;01197119-n;01199365-n	proceeding.n.01	mistrial.n.01;ordeal.n.02;court-martial.n.02;scopes_trial.n.01;show_trial.n.01;retrial.n.01	1	6
smoke	v	01198101-v	smoke.v.01	01156834-v	01198452-v;01198616-v;01198779-v	consume.v.02	chain-smoke.v.01;puff.v.01;inhale.v.01	1	3
prosecution	n	01198307-n	prosecution.n.01	01181902-n	01198068-n	legal_action.n.01	double_jeopardy.n.01	1	1
inject	v	01199213-v	inject.v.04	01200440-v	01199487-v;01199365-v	drug.v.02	pop.v.11;mainline.v.01	1	2
separation	n	01201021-n	separation.n.05	01080366-n	01202029-n;01202665-n;01201773-n;01201271-n;01202184-n	group_action.n.01	isolation.n.03;separationism.n.01;seclusion.n.02;divorce.n.01;segregation.n.03	1	5
chew	v	01201089-v	chew.v.01	01394464-v	01175132-v;01175224-v;01174973-v;01445597-v;01201574-v;01201693-v	grate.v.04	champ.v.01;mumble.v.02;chomp.v.01;gnaw.v.01;chaw.v.01;crunch.v.03	1	6
divorce	n	01201271-n	divorce.n.01	01201021-n		separation.n.05		1	0
homosexual	a	01201422-a	homosexual.a.01					0	0
swallow	v	01201856-v	swallow.v.01	01156834-v	01202651-v	consume.v.02	bolt.v.03	1	1
integration	n	01202415-n	integration.n.01	01080366-n		group_action.n.01		1	0
conformity	n	01203676-n	conformity.n.02	01202904-n	01204419-n;01204055-n;01205010-n;01204294-n	cooperation.n.01	honoring.n.01;formality.n.03;keeping.n.01;line.n.16	1	4
commitment	n	01206153-n	commitment.n.02	01202904-n	01040943-n;01207187-n;01206553-n;01206986-n;01041111-n	cooperation.n.01	communalism.n.02;faith.n.04;devotion.n.02;enlistment.n.02;consecration.n.01	1	5
touch	v	01206218-v	touch.v.01		01207044-v;01431230-v;01400044-v;01247550-v;01236164-v;01209426-v;01210152-v;01432474-v;00220115-v;01431723-v;01209953-v;01210737-v;01225970-v;01600600-v;01207402-v;01410223-v;01210352-v;01240720-v;01447257-v;01206849-v		toe.v.05;snog.v.01;hit.v.03;skim_over.v.02;hit.v.02;strike.v.10;feel.v.13;mouth.v.03;engage.v.06;kiss.v.02;finger.v.01;handle.v.04;stroke.v.01;tag.v.02;pick_up.v.02;strike.v.01;palpate.v.01;brush.v.02;press.v.01;touch.v.08	0	20
low	a	01206474-a	low.a.02					0	0
aid	n	01207609-n	aid.n.02	00407535-n	01209487-n;01209576-n;01211185-n;01210816-n;01208460-n;00802111-n;01211019-n;01212519-n;01208797-n;01208597-n;01208291-n;01209220-n	activity.n.01	lift.n.01;service.n.02;comfort.n.07;accommodation.n.05;hand.n.14;self-help.n.01;boost.n.01;support.n.02;thanks.n.02;recourse.n.01;facilitation.n.03;relief.n.05	1	12
hand	n	01208460-n	hand.n.14	01207609-n		aid.n.02		1	0
service	n	01209576-n	service.n.02	01207609-n	01210547-n;01210102-n;01210281-n;01210699-n;01209963-n	aid.n.02	help_desk.n.01;community_service.n.02;community_service.n.01;seating.n.02;childcare.n.01	1	5
high	a	01210854-a	high.a.01					0	0
consolation	n	01211667-n	consolation.n.02	01209220-n		relief.n.05		1	0
support	n	01212519-n	support.n.02	01207609-n	01215719-n;01215168-n;01215036-n;01212882-n;01214171-n;01215392-n	aid.n.02	reassurance.n.01;endorsement.n.05;sponsorship.n.01;attachment.n.05;advocacy.n.01;blessing.n.01	1	6
seize	v	01212572-v	seize.v.01	01214265-v	01215421-v;01222328-v;01439745-v;01215851-v;01213273-v;01213504-v;01350283-v;01215137-v;01572978-v;01224001-v;01574292-v;01213348-v;01439190-v	take.v.04	get.v.11;clasp.v.04;snatch.v.01;collar.v.02;nab.v.03;claw.v.02;grab.v.05;collar.v.01;clench.v.01;grip.v.01;grapple.v.02;rack.v.10;catch.v.04	1	13
collar	v	01215137-v	collar.v.01	01212572-v		seize.v.01		1	0
blessing	n	01215392-n	blessing.n.01	01212519-n	00180413-n;01213886-n;01219551-n;01218593-n	support.n.02	adoption.n.01;backing.n.01;reward.n.03;admiration.n.03	1	4
hold	v	01217043-v	hold.v.10		01218918-v;01219397-v;01219706-v;01218652-v;01217924-v;01219004-v;01218084-v;01218512-v;01218396-v;01218791-v;01217617-v		underpin.v.01;truss.v.03;brace.v.03;pole.v.02;block.v.11;prop_up.v.01;carry.v.05;buoy.v.02;chock.v.02;bracket.v.01;scaffold.v.01	0	11
attack	n	01220619-n	attack.n.09	06710546-n	01220336-n	criticism.n.01	aspersion.n.02	1	1
behavior	n	01220984-n	behavior.n.01	00407535-n	01223877-n;01221611-n;01224031-n;01224346-n;01223766-n;01226289-n;01223672-n	activity.n.01	dirty_tricks.n.01;aggression.n.05;discourtesy.n.03;easiness.n.03;dirty_pool.n.01;the_way_of_the_world.n.01;bohemianism.n.01	1	7
honest	a	01222360-a	honest.a.01					0	0
twist	v	01223182-v	twist.v.04	00140967-v	01350699-v;01349130-v;01518924-v;01518772-v;01517662-v;01462928-v	change_shape.v.01	contort.v.01;wring.v.02;weave.v.01;spin.v.06;intertwine.v.01;entangle.v.02	1	6
discourtesy	n	01224031-n	discourtesy.n.03	01220984-n	01224517-n;01225783-n;01225027-n;01224828-n;01224914-n;01225562-n	behavior.n.01	derision.n.02;rebuff.n.01;insult.n.02;indelicacy.n.02;insolence.n.02;presumption.n.04	1	6
operate	v	01224744-v	operate.v.03	01211699-v	01225215-v;01941093-v;01602907-v;00464996-v;01225461-v;01930874-v;00790308-v;01225576-v;01728052-v;01225357-v	manipulate.v.02	turn.v.22;fly.v.03;gate.v.02;synchronize.v.05;treadle.v.02;drive.v.01;dial.v.01;relay.v.02;pedal.v.02;submarine.v.04	1	10
stroke	v	01225970-v	stroke.v.01	01206218-v	01432176-v;01226215-v	touch.v.01	lick.v.02;caress.v.01	1	2
snub	n	01225997-n	snub.n.02	01225783-n		rebuff.n.01		1	0
honorable	a	01226240-a	honorable.a.02					0	0
favor	n	01226941-n	favor.n.01	00034574-n	01227083-n	kindness.n.03	turn.n.11	1	1
penetrate	v	01227675-v	penetrate.v.01	02016523-v	01228635-v;01227088-v;01229071-v;01228235-v;01229809-v;01530898-v;01444037-v;01605537-v;01228866-v;01228753-v;01228396-v;01586600-v;01441510-v;01457954-v;01442361-v;01227235-v;01226875-v;01441100-v;01577635-v	enter.v.01	foray.v.02;cut.v.30;permeate.v.01;strike.v.20;honeycomb.v.02;ingrain.v.01;tunnel.v.02;ooze_through.v.01;sneak_in.v.01;poke_into.v.01;break.v.45;storm.v.02;pierce.v.04;percolate.v.05;pierce.v.01;interpenetrate.v.01;probe.v.02;pierce.v.05;immerse.v.01	1	19
courtesy	n	01228245-n	courtesy.n.01	01227908-n	01228792-n;01228645-n	politeness.n.02	gallantry.n.03;attention.n.04	1	2
assembly	n	01229938-n	assembly.n.06	01080366-n	01230283-n;01231980-n;01231819-n;01231686-n;01230850-n;01230965-n	group_action.n.01	mobilization.n.02;concentration.n.06;convention.n.05;congregation.n.03;convocation.n.02;meeting.n.04	1	6
meeting	n	01230965-n	meeting.n.04	01229938-n	01232842-n;01232684-n;01233156-n;01231548-n;01232091-n;01232412-n	assembly.n.06	visit.n.03;visit.n.04;visit.n.01;rendezvous.n.01;session.n.03;socialization.n.02	1	6
knife	v	01231652-v	knife.v.01	00069879-v	01231878-v;01231980-v	injure.v.01	poniard.v.01;bayonet.v.01	1	2
session	n	01232091-n	session.n.03	01230965-n	01232246-n	meeting.n.04	course_session.n.01	1	1
horizontal	a	01232635-a	horizontal.a.01					0	0
flat	s	01233020-a	flat.s.12					0	0
dab	v	01233027-v	dab.v.02	01410223-v		strike.v.01		1	0
visit	n	01233156-n	visit.n.01	01230965-n	00652311-n;01055954-n;01056236-n;00652069-n	meeting.n.04	site_visit.n.01;call.n.06;visiting.n.01;visitation.n.03	1	4
vertical	a	01233347-a	vertical.a.01					0	0
absence	n	01234345-n	absence.n.02	01234090-n	00067254-n;00067397-n;01234528-n	nonattendance.n.01	cut.n.20;default.n.01;absenteeism.n.01	1	3
bury	v	01234625-v	bury.v.03	01575675-v		situate.v.02		1	0
retaliation	n	01235258-n	retaliation.n.01	01234729-n	01235463-n;01235946-n	return.n.10	vengeance.n.01;reprisal.n.01	1	2
knead	v	01235355-v	knead.v.01	01211699-v	01235558-v;01235667-v	manipulate.v.02	proof.v.02;masticate.v.01	1	2
hit	v	01236164-v	hit.v.02	01206218-v	01236941-v;01238500-v;01238204-v;01238358-v;01236795-v;01237088-v;01893000-v;01240308-v;00102420-v;01238061-v;01561143-v;01237231-v;01239619-v;01237761-v	touch.v.01	spang.v.01;bottom_out.v.02;thud.v.02;bottom.v.02;ping.v.01;rear-end.v.01;glance.v.02;run_into.v.02;stub.v.04;spat.v.03;collide.v.03;broadside.v.01;bump.v.01;connect.v.05	1	14
war	n	01236296-n	war.n.03	00958896-n	01236633-n;01236491-n	conflict.n.01	trench_warfare.n.01;drug_war.n.01	1	2
rehabilitation	n	01241997-n	rehabilitation.n.03	01241331-n		vindication.n.01		1	0
snap	v	01242208-v	snap.v.10	01831531-v		move.v.03		1	0
slam	v	01242832-v	slam.v.01	01345109-v		close.v.01		1	0
strike	n	01243674-n	strike.n.01	01242164-n	01243969-n;01244127-n;01244341-n;01244451-n	job_action.n.01	sit-down.n.01;sympathy_strike.n.01;walkout.n.01;wildcat_strike.n.01	1	4
brush	v	01243809-v	brush.v.01	01249724-v		rub.v.01		1	0
hostile	a	01244410-a	hostile.a.01					0	0
polish	v	01245637-v	polish.v.01	00293141-v	01245986-v;01246095-v;01682582-v;01245490-v	fancify.v.01	slick.v.01;buff.v.02;gloss.v.01;simonize.v.01	1	4
hot	a	01247240-a	hot.a.01					0	0
tap	v	01247804-v	tap.v.03	01410223-v	01248023-v	strike.v.01	percuss.v.01	1	1
rub	v	01249724-v	rub.v.01	01212230-v	01251109-v;01251228-v;01243809-v;01308160-v;01392237-v;01251928-v;01251651-v;01574077-v;01250243-v;01250474-v;01250374-v;01250676-v;01250795-v	guide.v.05	worry.v.06;scrub.v.01;brush.v.01;scrape.v.01;wipe.v.01;smear.v.02;scour.v.03;grate.v.03;pumice.v.01;puree.v.01;gauge.v.02;rosin.v.01;sponge_down.v.01	1	13
cold	a	01251128-a	cold.a.01					0	0
amputate	v	01254692-v	amputate.v.01	00173338-v	01254912-v	remove.v.01	slough_off.v.02	1	1
carve	v	01255967-v	carve.v.03	01552519-v	01249147-v;01249294-v	cut.v.01	shave.v.05;fillet.v.02	1	2
hot	a	01256332-a	hot.a.03					0	0
leadership	n	01256417-n	leadership.n.01	00407535-n	01256743-n;01256615-n;01257033-n	activity.n.01	lead.n.04;helm.n.02;trend_setting.n.01	1	3
lead	n	01256743-n	lead.n.04	01256417-n		leadership.n.01		1	0
solo	n	01257418-n	solo.n.01	00407535-n		activity.n.01		1	0
cold	a	01257612-a	cold.a.02					0	0
chop	v	01258091-v	chop.v.01	01552519-v	01257399-v;01560583-v	cut.v.01	hash.v.01;mince.v.03	1	2
stimulation	n	01261974-n	stimulation.n.01	00242808-n	01262109-n	arousal.n.01	galvanization.n.02	1	1
barbarous	s	01263013-a	barbarous.s.01					0	0
amusing	s	01265308-a	amusing.s.02					0	0
hilarious	s	01266841-a	hilarious.s.01					0	0
hungry	a	01269073-a	hungry.a.01					0	0
thirsty	a	01270004-a	thirsty.a.02					0	0
chief	s	01277426-a	chief.s.01					0	0
fold	v	01277974-v	fold.v.01	00356258-v	01217780-v;01278427-v;01277784-v;01387164-v;02083497-v;01390327-v;01914657-v;01387301-v;01457206-v	change_surface.v.01	pleat.v.02;wrinkle.v.02;furrow.v.02;corrugate.v.01;collapse.v.03;tuck.v.02;cross.v.04;ruffle.v.09;crimp.v.01	1	9
distinguished	s	01278080-a	distinguished.s.01					0	0
flex	v	01280014-v	flex.v.05	00140967-v	01280958-v;01280645-v;01281184-v;01280808-v;01279631-v	change_shape.v.01	crank.v.05;incurvate.v.02;convolve.v.01;gnarl.v.01;indent.v.03	1	5
flex	v	01280488-v	flex.v.04	01831531-v		move.v.03		1	0
impressive	a	01282014-a	impressive.a.01					0	0
astonishing	s	01283155-a	astonishing.s.02					0	0
wrap	v	01283208-v	wrap.v.01	01332730-v	01300437-v;01284002-v;01283746-v;01283611-v;01284160-v;01283893-v	cover.v.01	shroud.v.03;shrinkwrap.v.01;parcel.v.03;do_up.v.01;gift-wrap.v.01;cere.v.01	1	6
portable	s	01291589-a	portable.s.02					0	0
restrain	v	01301051-v	restrain.v.04	00233335-v	01300937-v;01301230-v;01300655-v	restrict.v.03	curb.v.03;clog.v.03;bridle.v.02	1	3
industrial	a	01301624-a	industrial.a.02					0	0
bind	v	01303242-v	bind.v.03	01296462-v	01304076-v;01300271-v;01302854-v	attach.v.01	cement.v.01;swaddle.v.01;gird.v.03	1	3
scrape	v	01308160-v	scrape.v.01	01249724-v	01211455-v	rub.v.01	paw.v.01	1	1
scratch	v	01309143-v	scratch.v.02	01555742-v	01306654-v;01370336-v	incise.v.01	claw.v.03;scuff.v.03	1	2
dig	v	01309701-v	dig.v.01	00173338-v	01282413-v;01277431-v;01310249-v;01313113-v;01312810-v;02042067-v	remove.v.01	rout.v.02;furrow.v.01;spade.v.01;trowel.v.01;shovel.v.01;burrow.v.01	1	6
excavate	v	01310660-v	excavate.v.04	00173338-v	01311896-v;01310964-v	remove.v.01	trench.v.05;drive.v.19	1	2
search	v	01315613-v	search.v.01		01314573-v;01317276-v;01319346-v;01316209-v;01317064-v;01317424-v;01317533-v;01314948-v;01316619-v;01244692-v;01316401-v;01315333-v;02326355-v;02127613-v;01319473-v;01314738-v		finger.v.03;scour.v.01;fish.v.01;leave_no_stone_unturned.v.01;want.v.03;seek_out.v.01;quest_for.v.01;divine.v.02;gather.v.08;dredge.v.02;hunt.v.06;browse.v.03;shop.v.03;feel.v.08;grub.v.02;grope.v.01	0	16
pet	n	01318894-n	pet.n.01	00015388-n		animal.n.01		1	0
innocent	a	01319874-a	innocent.a.01					0	0
young	n	01321579-n	young.n.01	00015388-n	01956344-n;02513560-n;01321854-n;01321770-n;01318279-n;01613615-n	animal.n.01	spat.n.03;young_fish.n.01;young_mammal.n.01;orphan.n.04;hatchling.n.01;young_bird.n.01	1	6
kill	v	01323958-v	kill.v.01		01570935-v;01326424-v;00471058-v;01324996-v;01326323-v;00470701-v;01322854-v;00479176-v;01616151-v;00479060-v;01326890-v;02483000-v;01325288-v;02484397-v;01605021-v;02483564-v;01323793-v;01327582-v;01572224-v;01326093-v;01323338-v;01323518-v;01327301-v;01327133-v;01571354-v;01327020-v;02484570-v;00479391-v;01326730-v;02482425-v;02483267-v;01325128-v;02484957-v;01572003-v;01569181-v;01326528-v		strangle.v.01;tomahawk.v.02;decimate.v.01;commit_suicide.v.01;take_off.v.08;eliminate.v.03;butcher.v.01;massacre.v.01;shed_blood.v.01;drown.v.04;overlie.v.02;assassinate.v.01;zap.v.02;lynch.v.01;martyr.v.01;draw.v.23;poison.v.04;exterminate.v.01;dismember.v.01;sacrifice.v.02;poison.v.02;stone.v.01;neutralize.v.04;put_away.v.05;decapitate.v.01;brain.v.02;shoot.v.02;erase.v.01;saber.v.02;murder.v.01;execute.v.01;dispatch.v.05;electrocute.v.02;impale.v.02;smother.v.02;destroy.v.04	0	36
horn	n	01325417-n	horn.n.02	05470189-n	01325658-n	process.n.05	antler.n.01	1	1
integrated	a	01326148-a	integrated.a.03					0	0
hybrid	n	01327322-n	hybrid.n.03	00004475-n	01327765-n;01327909-n	organism.n.01	dihybrid.n.01;monohybrid.n.01	1	2
virus	n	01328702-n	virus.n.01	01326291-n;09312843-n	01372038-n;01371777-n;01329186-n;01341410-n;01335460-n;01335659-n;01334862-n	microorganism.n.01;infectious_agent.n.01	vector.n.04;tumor_virus.n.01;arbovirus.n.01;slow_virus.n.01;plant_virus.n.01;animal_virus.n.01;bacteriophage.n.01	2	7
intellectual	a	01332386-a	intellectual.a.02					0	0
cover	v	01332730-v	cover.v.01		01332599-v;01268726-v;01362430-v;01235224-v;01603175-v;01602821-v;01208549-v;01316955-v;01235073-v;01269224-v;01363648-v;01336541-v;01337526-v;01269379-v;01337819-v;01612487-v;01283208-v;01335588-v;01337092-v;01337412-v;01208400-v;01568886-v;01267998-v;01233993-v;01271189-v;01365131-v;01603732-v;01334744-v;01335711-v;01614907-v;01336440-v;01337224-v;01359007-v;01599805-v;01313592-v;01336159-v;01373718-v;01611901-v;01268112-v;01233387-v;01272798-v;01335075-v;01335322-v;01270784-v;01339050-v;01608340-v;01612660-v;01234500-v;01234793-v;01358737-v;01334931-v;01263904-v;01358328-v;01338113-v;01268297-v;01251828-v;01362568-v;01335461-v;01612964-v;01373551-v;01607871-v;01234379-v;01268457-v;01363482-v;01517175-v;01338663-v;01603032-v;01264283-v;01334535-v;01337653-v;01338501-v;01335804-v;01337927-v;01269844-v;01580467-v;01334647-v;01338247-v;01336334-v;01581635-v;01600355-v;01358855-v;01234920-v;01268571-v		paste.v.03;wax.v.01;plaster.v.01;board_up.v.01;gravel.v.02;blacklead.v.01;frost.v.02;felt.v.02;carpet.v.02;veneer.v.01;put_on.v.07;recover.v.06;canopy.v.01;grease.v.01;blinker.v.01;drape.v.04;wrap.v.01;pall.v.03;hood.v.01;clapboard.v.01;frost.v.03;smother.v.01;butter.v.01;roof.v.01;face.v.09;laminate.v.03;lime.v.02;hold.v.31;sod.v.01;steel.v.02;flake.v.02;cowl.v.01;blanket.v.01;crape.v.01;spritz.v.02;plank.v.01;brush.v.06;spread.v.09;wallpaper.v.01;daub.v.03;feather.v.02;foil.v.03;whiteout.v.01;line.v.02;lag.v.04;straw.v.01;dust.v.03;turf.v.01;bank.v.07;mask.v.05;jacket.v.01;bark.v.02;mask.v.02;aluminize.v.01;canvas.v.03;bedaub.v.01;plaster.v.04;flash.v.07;plaster.v.02;spray.v.03;mound_over.v.01;mulch.v.01;paper.v.01;paint.v.04;frost.v.01;tile.v.01;grass.v.02;coat.v.01;cloak.v.03;bread.v.01;sheet.v.02;bind.v.07;blindfold.v.01;wash.v.08;envelop.v.01;coif.v.01;crown.v.04;parcel.v.02;sheathe.v.01;concrete.v.01;mask.v.04;carpet.v.03;oil.v.01	0	83
fasten	v	01340439-v	fasten.v.01	01296462-v	01604586-v;01344903-v;01288636-v;01591940-v;01287681-v;01600098-v;00083523-v;01342636-v;01342755-v;01342340-v;01306175-v;01289026-v;01341815-v;01342910-v;01344643-v;01357429-v;01329239-v;01304466-v;01286777-v;01304716-v;01353670-v;01343773-v;01286554-v;01548290-v;01528069-v;01367069-v;01481647-v;01531025-v;01348599-v;01286151-v;01289330-v;01481360-v;01303547-v;01285440-v;01367862-v;01305542-v;01288921-v;01608004-v;01342439-v;01304944-v;01348452-v;01548576-v;01365549-v;01302982-v;01304602-v;01366809-v;01344748-v;01305099-v;01368264-v;01343610-v;01342536-v;01348174-v;01366653-v;01599052-v;01604696-v;01342124-v;01360423-v;01366061-v;01367266-v	attach.v.01	joggle.v.02;clinch.v.01;chain.v.02;stake.v.04;garter.v.01;coapt.v.02;strap.v.04;belay.v.02;belay.v.01;chock.v.01;spike.v.03;picket.v.02;crank.v.04;bar.v.04;stay.v.10;tack.v.01;sew.v.01;cramp.v.01;latch.v.01;anchor.v.02;zip_up.v.01;velcro.v.01;bitt.v.01;buckle.v.01;lodge.v.02;staple.v.01;hang.v.14;entrench.v.01;hasp.v.01;rig.v.03;rope_up.v.01;hang.v.02;bind.v.04;tie.v.01;button.v.02;moor.v.01;cable.v.02;toggle.v.02;brad.v.01;anchor.v.01;lock_up.v.01;brooch.v.01;hook.v.01;cinch.v.01;cleat.v.02;grout.v.01;clinch.v.05;moor.v.03;pin.v.02;clamp.v.01;bight.v.01;lock.v.01;cement.v.03;wire.v.03;joint.v.03;noose.v.02;string.v.05;belt.v.03;rivet.v.02	1	59
interesting	a	01343918-a	interesting.a.01					0	0
close	v	01345109-v	close.v.01		01220528-v;01242996-v;01242832-v;01354006-v;00355670-v;01345589-v;01345769-v;01243148-v		slat.v.02;shutter.v.01;slam.v.01;seal.v.01;snap.v.05;roll_up.v.05;bung.v.02;draw.v.20	0	8
open	v	01346003-v	open.v.01		01346430-v;01603885-v;01346693-v;01346548-v;01593254-v;01348705-v;01593614-v;01353873-v;01343079-v;01348987-v;01423793-v		break_open.v.01;lance.v.03;reopen.v.01;click_open.v.01;pry.v.01;unlock.v.01;gap.v.01;unseal.v.01;unbar.v.01;unbolt.v.01;uncork.v.02	0	11
lock	v	01348174-v	lock.v.01	01340439-v	01342012-v;01348838-v	fasten.v.01	padlock.v.01;bolt.v.02	1	2
extract	v	01351170-v	extract.v.01	00173338-v	01359917-v;01351601-v;01349318-v	remove.v.01	thread.v.03;demodulate.v.01;wring_out.v.01	1	3
screw	v	01352806-v	screw.v.04	00420132-v		tighten.v.01		1	0
seal	v	01354006-v	seal.v.01	01345109-v	01484884-v;01354405-v;01354565-v;01354285-v	close.v.01	pack.v.10;waterproof.v.01;caulk.v.01;reseal.v.01	1	4
connect	v	01354673-v	connect.v.01		01355810-v;01355276-v;01355411-v;01355906-v;02622033-v;01614774-v;01291069-v;01292534-v;01296462-v;01295275-v;02623194-v;01355646-v		tee.v.02;daisy-chain.v.01;tie.v.09;put_through.v.02;hang_together.v.01;hitch.v.05;join.v.04;ground.v.11;attach.v.01;join.v.02;bridge.v.01;interconnect.v.02	0	12
adhere	v	01356750-v	adhere.v.06	01290422-v	00567291-v	attach.v.03	bind.v.09	1	1
glad	a	01361414-a	glad.a.01					0	0
sad	a	01361863-a	sad.a.01					0	0
paint	v	01362736-v	paint.v.02	01264283-v	01363005-v;01363320-v;01365355-v;01363174-v	coat.v.01	grain.v.02;airbrush.v.01;prime.v.02;repaint.v.02	1	4
hook	v	01365549-v	hook.v.01	01340439-v		fasten.v.01		1	0
straighten	v	01368597-v	straighten.v.02	00126264-v	01223508-v;01369059-v;01368863-v;01518203-v;01596645-v;01281069-v;01519321-v	change.v.01	untwist.v.01;channelize.v.04;extend.v.13;untwine.v.01;comb.v.01;unbend.v.03;unweave.v.01	1	7
break	v	01369346-v	break.v.42	00208836-v	01369204-v	decay.v.02	fray.v.01	1	1
kick	v	01370561-v	kick.v.03	01400044-v	01372556-v;01370245-v	hit.v.03	boot.v.01;scuff.v.04	1	2
kind	a	01372049-a	kind.a.01					0	0
spray	v	01372682-v	spray.v.02	01376245-v	01373422-v;01373303-v;01373138-v;01372994-v	scatter.v.03	syringe.v.01;mist.v.03;atomize.v.01;shower.v.02	1	4
scatter	v	01376245-v	scatter.v.03	01377032-v	01374767-v;01373844-v;01377444-v;01377758-v;01374020-v;01372682-v	discharge.v.02	sprinkle.v.02;spray.v.01;bespangle.v.02;aerosolize.v.01;spatter.v.01;spray.v.02	1	6
pick	v	01382083-v	pick.v.02	01380638-v	01384102-v;01382437-v	gather.v.01	berry.v.01;mushroom.v.01	1	2
large	a	01382086-a	large.a.01					0	0
ample	s	01383394-a	ample.s.03					0	0
great	s	01386883-a	great.s.01					0	0
huge	s	01387319-a	huge.s.01					0	0
compress	v	01387786-v	compress.v.02	00419950-v	01389007-v;01388653-v;00077950-v;00145772-v;01570562-v;01388386-v;01389186-v;01570744-v;01388813-v	tighten.v.02	convulse.v.05;strangulate.v.02;choke.v.04;prim.v.02;choke.v.02;astringe.v.01;bear_down.v.02;choke.v.03;convulse.v.06	1	9
tuck	v	01389776-v	tuck.v.01	01587062-v		enclose.v.03		1	0
small	a	01391351-a	small.a.01					0	0
wipe	v	01392237-v	wipe.v.01	01249724-v	01392790-v;01435254-v;01392663-v;01394335-v;01393714-v	rub.v.01	squeegee.v.01;whisk.v.03;sponge.v.01;towel.v.01;sweep.v.03	1	5
sweep	v	01393714-v	sweep.v.03	01392237-v		wipe.v.01		1	0
swipe	v	01394200-v	swipe.v.01	01400044-v		hit.v.03		1	0
whip	v	01398032-v	whip.v.04	01410223-v	02120912-v	strike.v.01	urticate.v.01	1	1
beat	v	01398919-v	beat.v.03	01410223-v	01412346-v;01416364-v;01399450-v;01399305-v;01416539-v;01412548-v;01412644-v;01399921-v;01399821-v	strike.v.01	deck.v.03;thrash.v.06;beat.v.20;full.v.01;hammer.v.01;whang.v.01;paste.v.02;bastinado.v.01;beetle.v.03	1	9
hit	v	01400044-v	hit.v.03	01206218-v	01397088-v;01401115-v;01401005-v;01242391-v;01424106-v;01415585-v;01401371-v;01401676-v;01423929-v;01242537-v;01420765-v;01415807-v;01414916-v;01415285-v;01414626-v;01396937-v;01413436-v;01413561-v;01416020-v;01396644-v;01394200-v;01396790-v;01401955-v;01413173-v;01401772-v;01415162-v;01401552-v;01237599-v;01410079-v;01417578-v;01413917-v;01400856-v;01370561-v	touch.v.01	sock.v.01;get.v.19;pop.v.09;slam.v.02;cudgel.v.01;slug.v.01;conk.v.02;brain.v.01;club.v.03;lam_into.v.01;box.v.02;whack.v.01;smack.v.01;punch.v.01;thump.v.03;swat.v.01;bat.v.04;bat.v.03;pummel.v.01;smite.v.01;swipe.v.01;hook.v.07;crack.v.04;bat.v.01;smash.v.01;belt.v.02;cosh.v.01;clap.v.06;sandbag.v.03;buffet.v.02;cut.v.08;bean.v.01;kick.v.03	1	33
legal	a	01400562-a	legal.a.01					0	0
illegal	a	01401854-a	illegal.a.01					0	0
illegitimate	s	01403760-a	illegitimate.s.01					0	0
unlike	a	01410363-a	unlike.a.01					0	0
alike	a	01410606-a	alike.a.01					0	0
like	a	01411065-a	like.a.02					0	0
unlike	a	01411291-a	unlike.a.02					0	0
probable	a	01413247-a	probable.a.01					0	0
improbable	a	01413871-a	improbable.a.01					0	0
knock	v	01414467-v	knock.v.02	01414288-v		rap.v.01		1	0
limited	a	01415021-a	limited.a.01					0	0
punch	v	01415285-v	punch.v.01	01400044-v		hit.v.03		1	0
slap	v	01416871-v	slap.v.01	01410223-v	01417162-v	strike.v.01	cuff.v.01	1	1
beat	v	01418179-v	beat.v.10	01419473-v	01417868-v;01418037-v	agitate.v.06	whisk.v.04;cream.v.01	1	2
shuffle	v	01418667-v	shuffle.v.03	01211699-v	01419160-v;01418959-v;01555437-v	manipulate.v.02	riffle.v.04;reshuffle.v.01;cut.v.26	1	3
live	a	01422556-a	live.a.01					0	0
plug	v	01422886-v	plug.v.01	01423285-v	01220636-v;01423623-v;01423506-v;01423167-v	close.v.15	stopper.v.01;cork.v.01;chink.v.02;tampon.v.01	1	4
