CONCEPTICON_ID	CONCEPTICON_GLOSS	Kannada	ENGLISH	KANNADA_POS	KANNADA_AOA_MEAN	LINE_IN_SOURCE
920	GRAPE	ದ್ರಾಕ್ಷಿಯು	grape	noun	2.97	227
924	VEGETABLES	ತರಕಾರಿಗಳು	vegetables	noun	3.12	805
926	RICE	ಅಕ್ಕಿಯು	rice	noun	3.18	43
928	EMBRACE	ತಬ್ಬು	hug	verb	3.81	785
930	VILLAGE	ಹಳ್ಳಿಯು	village	noun	3.73	315
935	WAR	ಯುದ್ಧವು	war	noun	4.64	885
939	HORN (INSTRUMENT)	ಕೊಂಬು	horn	noun	3.07	474
942	HONEY	ಜೇನು	honey	noun	3.2	397
946	BLOOD	ರಕ್ತವು	blood	noun	3.18	705
963	BOOK	ಪುಸ್ತಕವು	book	noun	2.93	691
964	WOOL	ಉಣ್ಣೆಯು	wool	noun	4.92	842
977	ARROW	ಬಾಣವು	arrow	noun	3.69	99
979	FARMER	ರೈತನು	farmer	noun	3.77	702
98	ALL	ಎಲ್ಲರೂ	all	pronoun	3.31	247
